water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,ihhnv_outbreak,disease_type,data_source
26.84,33.27,6.46,5.29,3.874,360.68,41.18,1988.48,15.57,0,1,0,116,Malaysia,Dry,5,2021,0.664,0.33,1,ihhnv,simulated
30.38,4.67,8.1,7.04,0.881,336.19,39.38,4152.99,0.87,1,1,1,76,Malaysia,Wet,11,2018,0.297,0.53,1,ihhnv,simulated
31.71,9.79,7.8,7.86,3.628,120.07,165.56,1499.26,20.49,1,0,0,119,Philippines,Dry,5,2020,0.455,0.78,0,ihhnv,simulated
25.13,27.26,8.41,4.01,1.53,270.93,38.16,398.52,15.82,1,0,0,119,Thailand,Dry,5,2019,0.521,0.98,1,ihhnv,simulated
21.12,20.73,8.26,6.97,3.942,380.88,146.43,2762.65,8.48,1,0,0,120,China,Dry,1,2021,0.561,0.98,1,ihhnv,simulated
26.69,22.65,7.95,4.2,4.161,198.04,37.13,2038.73,18.4,1,0,0,63,Indonesia,Dry,4,2019,0.602,0.93,1,ihhnv,simulated
34.84,33.31,7.37,9.73,4.903,75.97,141.02,490.89,20.27,1,0,0,123,Vietnam,Wet,10,2020,0.364,0.83,1,ihhnv,simulated
29.32,3.31,8.26,8.8,2.407,420.24,116.98,2736.34,27.21,0,1,0,177,Indonesia,Dry,6,2018,0.434,0.53,1,ihhnv,simulated
21.39,27.78,8.45,6.94,2.449,236.11,109.36,2140.93,5.49,1,0,1,134,Vietnam,Wet,9,2022,0.532,1.0,1,ihhnv,simulated
24.09,23.42,7.91,4.7,0.089,379.69,81.38,1997.02,22.97,1,0,1,88,India,Wet,10,2020,0.255,1.0,1,ihhnv,simulated
29.44,2.35,8.99,9.7,4.822,405.2,24.0,3506.29,27.45,1,0,1,103,Vietnam,Dry,4,2019,0.592,0.78,0,ihhnv,simulated
21.38,4.95,8.79,7.96,2.184,395.19,70.8,2452.56,26.39,0,0,1,178,India,Dry,4,2018,0.526,0.48,1,ihhnv,simulated
23.15,29.01,7.76,2.93,0.355,256.7,146.06,888.06,13.88,1,0,1,95,Indonesia,Dry,4,2022,0.318,1.0,1,ihhnv,simulated
30.53,11.21,7.32,8.75,3.243,145.5,12.34,2970.77,4.61,0,0,1,102,Vietnam,Wet,6,2019,0.405,0.38,0,ihhnv,simulated
24.21,28.59,7.51,7.29,0.534,153.61,66.41,4810.34,7.31,0,1,0,92,China,Wet,3,2020,0.151,0.68,1,ihhnv,simulated
26.9,8.59,8.3,9.92,1.917,50.05,100.97,3043.1,16.92,1,0,0,43,Thailand,Wet,2,2019,0.349,0.98,1,ihhnv,simulated
34.15,22.13,8.44,4.82,2.308,201.44,58.5,3388.59,15.44,1,0,1,45,India,Dry,9,2019,0.586,0.93,1,ihhnv,simulated
21.6,21.01,6.16,6.97,0.583,301.46,109.87,775.65,20.59,1,0,1,148,Philippines,Dry,9,2022,0.389,0.93,1,ihhnv,simulated
23.3,13.47,8.92,9.23,3.01,314.4,90.08,653.58,18.4,0,0,0,163,Malaysia,Dry,11,2019,0.596,0.63,0,ihhnv,simulated
28.29,24.75,6.55,4.99,2.292,162.93,104.39,765.95,20.76,1,0,1,37,Malaysia,Dry,11,2022,0.58,1.0,1,ihhnv,simulated
26.66,1.62,7.85,4.88,3.853,395.55,104.3,2485.8,21.83,1,1,0,78,China,Dry,11,2022,0.562,0.78,1,ihhnv,simulated
34.29,7.38,7.49,2.01,0.197,351.6,50.42,3124.5,12.82,1,1,1,109,Philippines,Dry,8,2021,0.29,0.505,0,ihhnv,simulated
29.58,15.1,6.2,7.61,3.736,458.98,11.56,1166.63,2.31,1,0,1,82,Philippines,Dry,6,2018,0.63,1.0,1,ihhnv,simulated
21.05,33.74,6.02,8.02,3.468,105.0,137.36,1582.19,16.25,1,0,1,114,India,Dry,2,2020,0.646,0.78,0,ihhnv,simulated
26.62,18.22,6.66,9.67,3.996,194.99,28.63,2656.38,29.27,0,1,1,176,Philippines,Dry,7,2023,0.484,0.63,1,ihhnv,simulated
30.44,26.41,7.93,4.93,1.305,363.06,154.49,3006.78,22.7,1,0,1,77,Indonesia,Dry,12,2020,0.386,1.0,1,ihhnv,simulated
30.13,0.25,7.84,3.93,2.867,156.37,163.23,2915.08,2.39,1,0,0,101,China,Wet,8,2020,0.578,0.905,1,ihhnv,simulated
32.4,10.92,6.55,6.73,3.152,78.84,39.64,2074.34,17.48,0,0,0,56,Thailand,Wet,9,2019,0.601,0.38,0,ihhnv,simulated
31.88,4.75,8.05,2.32,2.286,168.09,16.17,1091.16,21.98,1,1,0,107,Indonesia,Dry,9,2020,0.602,0.605,1,ihhnv,simulated
24.19,7.33,8.95,3.47,1.697,162.13,109.21,1885.76,27.45,1,1,0,86,Philippines,Wet,3,2020,0.648,0.955,1,ihhnv,simulated
25.98,19.02,7.06,3.08,3.32,78.72,168.1,3982.88,17.61,0,1,0,111,Vietnam,Wet,6,2022,0.637,0.855,1,ihhnv,simulated
32.61,16.27,6.48,2.12,0.308,217.69,102.32,2830.43,23.54,0,1,0,129,Vietnam,Dry,6,2018,0.467,0.655,0,ihhnv,simulated
22.75,32.1,8.93,5.75,3.588,396.24,27.67,2704.54,8.25,1,0,1,68,Philippines,Dry,5,2022,0.713,0.78,1,ihhnv,simulated
28.54,2.14,8.89,4.74,1.608,257.95,107.0,1687.76,13.91,0,0,0,75,Vietnam,Dry,8,2019,0.586,0.63,0,ihhnv,simulated
23.69,22.04,6.9,8.86,1.827,116.39,140.4,1338.51,23.79,0,1,1,147,Philippines,Wet,1,2023,0.341,0.88,1,ihhnv,simulated
26.25,1.1,8.68,3.83,2.497,310.19,82.3,2578.27,9.59,0,0,0,103,India,Wet,9,2020,0.68,0.755,0,ihhnv,simulated
28.46,26.81,6.62,9.73,0.834,457.66,160.19,2017.94,28.63,1,0,1,37,Thailand,Dry,8,2021,0.248,1.0,1,ihhnv,simulated
27.65,15.48,6.94,8.77,1.495,319.91,16.03,4319.12,12.01,0,1,0,49,India,Wet,10,2020,0.3,0.63,1,ihhnv,simulated
30.29,28.11,7.93,2.3,3.001,88.93,170.95,3949.8,6.63,0,1,1,154,Thailand,Wet,11,2023,0.662,0.805,1,ihhnv,simulated
26.5,25.46,7.48,5.04,1.606,236.29,119.75,3966.12,25.79,0,0,0,70,Malaysia,Wet,9,2022,0.347,0.88,1,ihhnv,simulated
22.09,28.57,7.55,6.78,2.245,4.25,92.05,864.06,8.73,1,1,1,48,India,Wet,4,2018,0.365,1.0,1,ihhnv,simulated
23.65,1.04,7.62,4.25,2.375,161.61,33.15,3597.39,24.01,0,1,1,91,Philippines,Dry,12,2022,0.476,0.33,0,ihhnv,simulated
32.86,3.54,8.22,4.82,1.575,140.52,112.6,2110.11,1.64,1,0,1,115,Philippines,Wet,8,2018,0.468,0.93,1,ihhnv,simulated
20.91,30.13,7.79,3.52,4.975,356.13,159.78,205.44,1.51,1,0,0,33,Indonesia,Dry,5,2022,0.598,0.755,1,ihhnv,simulated
22.43,3.9,6.75,5.75,1.584,409.43,186.58,4342.48,25.2,0,0,1,126,Thailand,Dry,9,2019,0.443,0.68,1,ihhnv,simulated
21.78,14.45,6.02,4.56,3.783,335.98,80.69,4295.07,1.97,0,1,0,106,Vietnam,Wet,11,2020,0.761,0.38,0,ihhnv,simulated
31.45,0.58,6.06,4.33,1.889,36.13,78.27,769.74,26.9,0,0,1,175,Thailand,Wet,6,2021,0.639,0.63,0,ihhnv,simulated
31.78,10.66,7.99,7.84,1.254,132.1,119.15,2230.37,9.03,1,0,0,106,Thailand,Wet,7,2021,0.293,0.83,1,ihhnv,simulated
33.09,3.78,7.58,8.82,4.364,422.35,93.28,3103.09,22.85,0,0,1,53,Philippines,Dry,1,2019,0.386,0.53,0,ihhnv,simulated
21.72,12.94,8.7,5.69,3.999,92.81,196.98,2113.35,11.02,0,1,1,107,China,Wet,8,2018,0.677,0.43,0,ihhnv,simulated
24.85,15.98,8.99,6.1,0.487,158.32,80.57,1281.62,16.06,1,1,1,60,China,Wet,6,2019,0.432,1.0,1,ihhnv,simulated
27.5,17.4,6.89,3.27,0.807,390.5,197.99,3924.02,22.3,1,0,0,57,Indonesia,Wet,4,2019,0.416,1.0,1,ihhnv,simulated
21.97,21.82,8.28,3.07,4.526,132.04,29.11,2982.67,21.56,1,0,1,79,Thailand,Wet,12,2018,0.694,0.955,1,ihhnv,simulated
26.16,0.41,6.08,7.73,0.55,134.67,19.65,1120.6,27.7,0,0,0,127,Malaysia,Dry,12,2020,0.373,0.33,0,ihhnv,simulated
30.97,1.85,7.35,2.71,1.806,336.17,146.35,2499.15,29.04,0,0,1,121,Philippines,Dry,4,2021,0.469,0.605,0,ihhnv,simulated
31.82,24.77,8.59,6.03,0.945,488.89,137.57,2666.19,24.33,1,0,1,84,Malaysia,Wet,12,2018,0.419,1.0,1,ihhnv,simulated
31.34,12.52,6.22,8.71,3.311,310.93,52.74,4692.45,5.62,0,0,0,159,Malaysia,Dry,2,2022,0.59,0.33,0,ihhnv,simulated
28.45,2.96,7.41,2.23,2.877,343.94,45.51,2488.65,19.39,0,1,1,133,India,Wet,9,2023,0.594,0.455,1,ihhnv,simulated
25.95,4.3,6.24,5.6,3.572,370.66,198.78,1365.24,3.25,1,1,1,103,Vietnam,Wet,10,2020,0.69,0.93,1,ihhnv,simulated
24.39,18.65,6.65,9.4,3.942,58.22,193.05,3939.24,28.82,1,1,1,100,Indonesia,Wet,6,2019,0.495,1.0,1,ihhnv,simulated
23.95,28.08,6.32,7.76,1.523,313.6,118.48,1068.4,1.25,1,1,0,157,Indonesia,Dry,5,2023,0.441,1.0,1,ihhnv,simulated
23.77,9.79,6.63,7.07,2.875,118.92,164.6,2169.26,2.98,1,1,0,176,Philippines,Dry,4,2021,0.562,0.83,1,ihhnv,simulated
20.49,22.91,8.79,6.79,0.606,109.14,139.73,4334.39,27.56,0,0,0,69,India,Wet,6,2018,0.389,0.63,1,ihhnv,simulated
31.68,12.15,6.25,9.28,2.707,435.09,141.67,4655.76,4.72,0,1,0,52,Malaysia,Dry,10,2019,0.533,0.43,0,ihhnv,simulated
27.36,6.99,8.76,2.23,2.212,58.64,191.38,2723.66,8.03,1,1,0,132,Vietnam,Wet,5,2023,0.715,0.955,1,ihhnv,simulated
34.34,3.71,7.39,2.93,3.624,437.25,69.72,3003.11,12.96,0,1,1,170,Indonesia,Dry,3,2022,0.587,0.505,1,ihhnv,simulated
27.31,32.51,8.3,7.49,4.067,199.4,124.05,2307.56,21.35,0,0,0,87,Philippines,Dry,2,2021,0.55,0.63,1,ihhnv,simulated
27.68,3.79,6.32,2.81,0.168,10.22,145.16,2532.48,19.68,1,0,1,106,Philippines,Dry,3,2020,0.455,0.955,1,ihhnv,simulated
30.3,25.49,6.39,6.0,1.21,424.86,155.92,375.26,2.4,0,0,1,63,Philippines,Wet,2,2022,0.453,0.88,0,ihhnv,simulated
32.46,15.8,6.34,5.16,4.585,217.14,175.05,4747.54,1.99,1,1,0,133,Indonesia,Wet,11,2022,0.688,1.0,1,ihhnv,simulated
31.43,18.93,6.86,7.05,1.56,332.88,64.51,385.37,8.18,1,1,1,86,Philippines,Wet,12,2022,0.378,1.0,1,ihhnv,simulated
21.6,14.59,8.65,5.95,2.078,473.96,94.48,4862.66,28.45,1,1,0,110,China,Wet,12,2018,0.558,0.68,1,ihhnv,simulated
28.09,7.45,6.55,2.63,1.899,269.44,30.76,2120.54,11.11,1,0,1,113,Philippines,Wet,12,2021,0.615,0.905,1,ihhnv,simulated
27.37,16.97,6.0,4.94,4.854,252.43,169.05,4424.9,5.51,0,1,0,107,Vietnam,Dry,10,2020,0.752,0.78,1,ihhnv,simulated
33.12,22.35,6.03,2.13,0.679,41.04,49.84,991.76,27.62,0,1,1,60,Philippines,Dry,2,2018,0.583,0.505,0,ihhnv,simulated
20.16,19.2,8.9,7.82,2.336,77.48,31.6,3197.28,9.35,0,0,0,126,Vietnam,Wet,8,2020,0.566,0.53,0,ihhnv,simulated
23.62,24.82,8.93,2.2,0.476,432.65,138.4,3965.26,13.04,1,0,1,102,China,Dry,12,2019,0.551,1.0,1,ihhnv,simulated
29.52,12.56,6.72,8.91,3.15,340.8,123.52,1254.33,16.76,1,1,0,145,Indonesia,Dry,12,2021,0.5,0.83,0,ihhnv,simulated
27.83,4.34,6.98,5.49,0.968,304.21,153.01,351.7,20.13,1,1,0,31,Indonesia,Dry,3,2020,0.345,0.73,1,ihhnv,simulated
28.35,13.77,7.55,6.74,1.046,122.12,161.87,2436.63,13.43,1,1,0,159,China,Wet,10,2022,0.233,0.83,1,ihhnv,simulated
20.33,25.74,6.81,5.62,4.863,234.43,188.36,855.16,0.73,0,1,1,48,Indonesia,Dry,11,2018,0.594,0.63,1,ihhnv,simulated
25.65,8.98,7.58,6.81,0.501,237.2,92.09,2593.87,29.24,1,1,1,68,Indonesia,Wet,2,2019,0.175,0.78,1,ihhnv,simulated
33.49,22.7,8.08,9.74,0.554,258.66,109.79,3890.53,24.95,1,1,1,64,Thailand,Dry,3,2023,0.167,0.93,1,ihhnv,simulated
32.09,12.76,8.66,8.29,1.23,123.64,30.38,4603.74,14.19,1,0,1,137,Philippines,Dry,8,2018,0.387,0.68,1,ihhnv,simulated
33.31,21.76,6.16,8.39,4.686,453.94,98.82,3458.75,17.98,0,1,0,163,China,Wet,6,2023,0.61,0.73,0,ihhnv,simulated
33.39,22.42,8.71,3.73,1.254,91.92,82.4,3525.53,1.67,1,1,0,49,Philippines,Dry,3,2022,0.55,1.0,1,ihhnv,simulated
21.86,33.75,7.61,8.7,1.374,147.56,103.91,4070.79,15.22,0,0,1,93,Indonesia,Wet,1,2021,0.214,0.48,1,ihhnv,simulated
27.32,16.11,6.76,7.08,4.593,394.43,93.04,1817.38,11.46,1,0,1,116,Philippines,Dry,5,2019,0.554,1.0,1,ihhnv,simulated
27.56,19.87,6.92,6.37,0.025,88.55,12.81,3100.89,12.66,1,1,0,47,Malaysia,Wet,6,2023,0.22,0.83,1,ihhnv,simulated
29.24,19.79,6.4,7.37,2.368,63.83,51.06,1572.63,19.77,0,0,1,90,Malaysia,Wet,4,2018,0.534,0.78,1,ihhnv,simulated
22.8,30.36,8.43,6.1,2.388,114.05,123.45,1975.56,18.26,0,1,1,171,China,Dry,3,2019,0.55,0.58,1,ihhnv,simulated
25.95,28.58,7.13,3.74,2.51,261.74,159.51,2346.84,23.18,0,1,0,74,China,Wet,5,2021,0.549,0.855,1,ihhnv,simulated
32.91,27.42,6.54,5.46,0.259,188.49,53.11,2617.09,18.78,0,1,1,99,Vietnam,Dry,1,2021,0.34,0.43,0,ihhnv,simulated
29.08,8.75,8.4,8.9,0.266,352.7,114.07,3746.63,17.3,0,1,0,132,Thailand,Wet,3,2021,0.216,0.48,0,ihhnv,simulated
33.44,4.68,7.37,2.58,1.199,279.75,91.79,4904.86,17.73,0,0,0,77,Thailand,Dry,5,2019,0.402,0.555,1,ihhnv,simulated
27.3,23.76,7.68,4.55,3.44,314.16,71.21,3511.86,6.27,0,0,1,134,India,Wet,12,2018,0.545,0.93,1,ihhnv,simulated
29.27,0.23,6.9,5.59,0.505,142.34,32.21,1934.57,14.01,0,1,0,135,Malaysia,Dry,1,2020,0.303,0.23,0,ihhnv,simulated
32.11,32.63,8.67,2.29,1.747,93.07,117.42,1109.65,13.57,0,0,0,86,China,Dry,8,2021,0.646,0.605,1,ihhnv,simulated
34.81,20.92,7.74,9.8,3.674,348.45,22.44,2392.18,10.0,0,1,1,63,Malaysia,Dry,6,2019,0.38,0.48,0,ihhnv,simulated
33.61,23.31,6.95,2.39,1.086,316.9,41.92,4424.98,27.82,1,1,1,164,India,Dry,2,2021,0.466,0.905,1,ihhnv,simulated
25.32,2.5,7.4,3.67,1.757,403.68,120.44,4449.79,17.98,0,1,1,55,India,Wet,10,2021,0.423,0.655,1,ihhnv,simulated
23.36,26.81,6.65,6.77,2.855,369.12,177.65,2973.08,9.88,1,0,0,63,Thailand,Dry,3,2020,0.567,1.0,1,ihhnv,simulated
24.53,33.66,6.29,8.65,1.297,208.7,130.14,1287.75,16.02,0,0,0,84,Philippines,Wet,11,2019,0.391,0.68,0,ihhnv,simulated
34.81,20.12,6.65,4.59,3.368,383.57,151.42,3075.42,14.63,0,0,1,55,India,Wet,9,2019,0.655,0.88,0,ihhnv,simulated
32.57,31.18,8.95,8.99,1.25,3.38,159.28,4103.8,12.35,0,1,0,88,Philippines,Wet,7,2023,0.414,0.48,1,ihhnv,simulated
21.66,31.82,6.06,6.9,1.383,421.38,105.72,491.59,9.12,0,0,0,73,Thailand,Wet,5,2019,0.497,0.48,0,ihhnv,simulated
20.96,11.05,6.06,7.35,2.083,209.79,65.41,3379.25,10.2,0,1,1,114,India,Dry,11,2018,0.56,0.38,1,ihhnv,simulated
23.33,11.84,8.5,6.81,4.217,129.6,54.14,757.51,22.06,0,0,0,123,Malaysia,Wet,5,2019,0.606,0.48,0,ihhnv,simulated
27.17,33.68,8.32,5.43,3.652,418.53,29.79,3011.69,22.36,0,1,1,72,India,Wet,4,2023,0.622,0.43,1,ihhnv,simulated
27.13,4.73,6.76,2.08,1.98,262.51,181.45,160.75,20.65,1,1,0,140,Malaysia,Wet,11,2023,0.607,0.955,1,ihhnv,simulated
25.73,32.36,7.27,9.57,2.46,242.07,104.86,3565.12,22.66,0,0,0,82,Malaysia,Wet,12,2020,0.326,0.63,1,ihhnv,simulated
24.39,3.8,7.76,2.04,0.362,410.62,127.21,1171.84,16.81,1,0,0,42,Philippines,Dry,11,2019,0.349,0.855,1,ihhnv,simulated
31.73,7.05,6.82,4.4,1.918,100.19,122.76,4229.42,19.5,1,1,1,170,Thailand,Wet,5,2022,0.513,0.83,1,ihhnv,simulated
25.87,14.23,8.83,4.49,4.253,33.31,97.98,2478.39,17.33,0,0,0,65,Philippines,Dry,10,2020,0.739,0.63,0,ihhnv,simulated
21.9,18.77,8.42,4.65,3.775,437.86,100.31,4222.08,24.44,0,0,0,154,Philippines,Wet,1,2020,0.665,0.73,0,ihhnv,simulated
20.15,0.13,8.98,5.47,4.959,288.53,101.89,3026.19,6.73,1,1,1,107,Indonesia,Dry,3,2023,0.731,0.68,0,ihhnv,simulated
21.72,14.1,7.22,7.47,3.035,84.93,105.01,2862.43,17.5,1,0,1,158,China,Wet,7,2022,0.464,0.78,0,ihhnv,simulated
22.82,12.63,6.38,8.44,3.33,362.38,70.01,3890.05,20.16,0,1,1,103,Philippines,Dry,8,2020,0.572,0.58,1,ihhnv,simulated
21.79,0.83,6.23,4.95,1.542,179.89,44.12,4926.48,14.71,1,1,0,44,Vietnam,Dry,4,2023,0.551,0.43,1,ihhnv,simulated
34.63,17.3,7.93,2.41,4.736,387.17,172.93,3600.85,14.36,0,0,0,125,Malaysia,Dry,12,2022,0.658,0.805,1,ihhnv,simulated
25.52,28.79,7.36,3.27,4.708,92.12,143.51,2068.91,1.11,1,1,1,66,India,Dry,1,2019,0.581,1.0,1,ihhnv,simulated
29.21,28.89,6.24,4.18,1.041,276.17,134.28,3276.34,24.9,1,0,1,114,India,Wet,8,2019,0.52,1.0,1,ihhnv,simulated
27.19,0.81,8.12,7.73,3.306,295.91,65.28,1527.19,20.92,0,1,1,150,Vietnam,Dry,10,2023,0.512,0.58,0,ihhnv,simulated
20.73,5.39,6.73,5.54,0.563,106.19,39.7,1385.01,27.29,0,0,1,103,Malaysia,Wet,4,2020,0.34,0.23,0,ihhnv,simulated
28.07,3.86,8.28,4.88,3.163,325.83,168.26,3839.88,28.72,1,0,1,45,Vietnam,Dry,7,2022,0.634,0.98,1,ihhnv,simulated
33.86,21.29,6.42,6.6,0.585,42.22,87.56,4837.74,15.35,0,0,1,107,Thailand,Dry,4,2018,0.358,0.73,1,ihhnv,simulated
25.38,12.95,6.99,6.83,1.803,298.73,44.4,3869.59,29.48,1,1,0,30,Malaysia,Wet,5,2023,0.391,0.68,0,ihhnv,simulated
20.03,6.07,6.43,4.9,2.459,123.4,164.96,2372.69,1.42,0,0,1,35,Thailand,Dry,4,2023,0.622,0.48,0,ihhnv,simulated
20.06,4.75,6.63,7.33,1.249,354.83,52.52,3471.28,21.62,1,1,0,140,Malaysia,Wet,1,2021,0.373,0.48,0,ihhnv,simulated
25.85,24.67,8.65,8.83,0.404,197.72,193.39,909.94,9.43,1,0,0,88,Philippines,Wet,5,2019,0.276,1.0,1,ihhnv,simulated
28.06,9.19,7.72,7.79,3.502,24.71,181.54,1961.53,1.63,1,0,0,31,Indonesia,Dry,11,2020,0.444,0.88,1,ihhnv,simulated
26.9,21.97,6.18,9.72,4.139,206.12,167.12,1914.79,20.74,1,1,0,123,Malaysia,Dry,3,2023,0.563,1.0,1,ihhnv,simulated
29.26,19.54,7.96,3.9,0.754,137.56,124.69,144.04,2.4,0,0,0,136,Indonesia,Wet,11,2018,0.364,0.855,1,ihhnv,simulated
29.87,27.79,7.75,9.24,3.381,134.04,144.67,3295.7,20.64,0,1,0,165,Philippines,Wet,1,2022,0.4,0.78,1,ihhnv,simulated
30.66,13.2,8.17,3.54,0.271,160.11,94.75,1470.25,27.12,0,1,1,108,Vietnam,Dry,2,2022,0.357,0.455,0,ihhnv,simulated
33.37,5.41,7.09,8.58,1.877,395.48,148.99,3010.82,14.53,0,1,0,147,China,Dry,4,2018,0.324,0.38,0,ihhnv,simulated
30.36,19.49,7.28,3.35,0.646,201.16,24.08,1842.66,1.44,0,1,0,105,Malaysia,Dry,11,2023,0.33,0.405,1,ihhnv,simulated
34.72,3.39,7.44,2.03,3.365,244.07,48.09,2549.86,14.41,0,1,1,35,Indonesia,Wet,5,2018,0.609,0.355,0,ihhnv,simulated
22.27,23.11,8.84,5.39,2.021,148.56,151.18,2151.06,10.91,1,0,0,49,China,Dry,7,2019,0.602,1.0,1,ihhnv,simulated
21.77,8.54,6.97,8.5,0.609,235.53,186.0,3266.69,19.43,0,0,0,46,China,Wet,12,2019,0.206,0.38,1,ihhnv,simulated
29.31,7.77,8.59,4.2,3.532,443.12,178.04,4212.87,8.84,0,1,1,176,Vietnam,Dry,2,2020,0.708,0.58,1,ihhnv,simulated
33.2,29.66,6.44,7.17,0.664,249.84,68.56,4457.33,4.21,0,0,0,64,Vietnam,Wet,1,2021,0.345,0.73,0,ihhnv,simulated
28.79,6.31,6.37,2.83,4.967,205.38,72.1,3792.61,11.65,0,1,1,46,Vietnam,Wet,12,2021,0.761,0.705,1,ihhnv,simulated
21.69,23.89,6.97,9.81,4.007,4.21,95.78,2964.3,23.57,1,1,0,110,Thailand,Wet,4,2021,0.428,0.93,0,ihhnv,simulated
21.64,28.8,7.01,6.97,4.302,229.71,55.59,1821.6,20.07,1,0,1,92,China,Dry,11,2019,0.516,0.78,1,ihhnv,simulated
29.41,8.67,8.97,8.81,1.637,9.56,119.41,2678.32,8.71,1,0,0,162,Philippines,Dry,6,2019,0.467,0.93,1,ihhnv,simulated
27.49,3.13,8.74,5.79,2.718,413.71,84.79,1330.48,9.28,1,1,1,170,Malaysia,Wet,10,2022,0.649,0.93,1,ihhnv,simulated
31.23,17.51,8.15,2.88,2.401,440.75,150.59,605.46,21.47,1,0,1,87,China,Wet,12,2018,0.612,1.0,1,ihhnv,simulated
