water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,imnv_outbreak,disease_type,data_source
31.07,6.08,7.94,8.02,0.63,329.6,96.09,3553.6,23.4,1,1,1,59,Vietnam,Wet,4,2023,0.209,0.66,1,imnv,simulated
30.74,14.78,8.75,9.7,4.084,464.72,147.48,1360.54,28.2,1,1,0,118,India,Wet,7,2019,0.552,1.0,1,imnv,simulated
26.78,9.22,7.88,6.22,0.079,334.32,195.96,3056.26,9.14,1,1,1,156,India,Wet,2,2018,0.198,0.76,1,imnv,simulated
20.32,26.14,8.93,5.8,2.807,233.39,140.63,4202.62,16.46,0,1,1,51,Vietnam,Wet,10,2018,0.69,0.69,0,imnv,simulated
21.0,21.81,6.83,4.22,4.178,74.71,178.05,3856.69,4.99,1,1,0,33,Thailand,Dry,4,2022,0.638,0.74,1,imnv,simulated
29.91,28.98,6.67,9.36,3.89,172.03,162.45,4553.29,9.41,0,0,0,46,China,Wet,10,2018,0.493,0.79,1,imnv,simulated
30.24,22.77,7.58,4.2,1.716,141.35,132.01,4107.97,2.61,0,0,0,147,Malaysia,Dry,1,2021,0.397,0.78,1,imnv,simulated
27.11,17.5,6.77,4.86,3.002,208.53,82.78,2118.15,29.1,0,0,0,94,Indonesia,Wet,9,2022,0.626,0.94,1,imnv,simulated
26.51,19.81,7.19,5.9,3.978,11.48,134.75,3714.24,23.9,0,0,0,78,Malaysia,Dry,5,2021,0.522,0.78,0,imnv,simulated
33.23,10.11,7.48,9.98,4.173,328.47,137.84,1178.64,24.27,1,1,1,133,Thailand,Wet,1,2018,0.337,0.93,1,imnv,simulated
24.4,8.43,7.38,9.22,1.766,308.79,99.72,1187.74,18.96,1,0,1,100,India,Dry,9,2023,0.242,0.88,1,imnv,simulated
20.31,25.72,6.59,3.99,3.666,396.51,13.94,1209.37,22.76,1,1,0,54,China,Dry,10,2018,0.685,0.58,1,imnv,simulated
33.87,0.99,6.59,8.3,1.976,300.86,192.35,763.63,19.37,1,1,0,39,Philippines,Wet,10,2023,0.428,0.79,1,imnv,simulated
33.98,20.35,8.27,3.47,1.215,470.48,55.89,2093.86,17.23,1,1,0,54,India,Dry,10,2020,0.481,0.68,1,imnv,simulated
31.67,13.52,6.06,2.06,0.547,390.0,39.54,3886.43,12.73,0,1,1,144,China,Dry,12,2022,0.565,0.41,1,imnv,simulated
31.12,14.17,6.39,3.95,2.699,243.14,99.49,4561.28,24.11,0,0,1,59,Thailand,Dry,3,2019,0.687,0.88,1,imnv,simulated
30.35,33.19,7.12,6.73,3.694,453.61,28.91,1292.96,18.11,0,1,1,132,Philippines,Dry,8,2023,0.506,0.33,0,imnv,simulated
24.07,25.6,7.63,6.82,3.063,180.12,52.41,473.85,28.56,0,0,1,148,Philippines,Wet,5,2023,0.461,0.68,1,imnv,simulated
25.58,32.37,7.01,2.62,4.059,200.82,29.17,138.97,18.15,0,1,1,72,India,Dry,5,2018,0.661,0.42,0,imnv,simulated
25.39,10.72,8.05,8.51,1.472,410.84,114.85,4899.39,18.68,0,0,0,77,China,Dry,2,2020,0.305,0.84,1,imnv,simulated
22.55,20.6,6.45,8.1,2.667,1.19,132.56,1352.78,15.0,0,0,1,121,Indonesia,Wet,12,2023,0.535,0.79,1,imnv,simulated
29.49,27.88,6.14,3.18,4.018,188.13,11.6,1892.97,5.24,1,1,1,126,India,Wet,3,2018,0.787,0.93,1,imnv,simulated
31.18,24.79,6.28,6.92,1.99,141.2,139.63,1533.14,4.57,1,0,0,78,Indonesia,Dry,2,2019,0.527,0.94,1,imnv,simulated
22.98,4.19,6.79,9.18,1.083,6.16,65.07,3699.66,0.34,0,0,0,141,Indonesia,Wet,11,2018,0.266,0.34,0,imnv,simulated
30.83,10.85,7.18,8.44,4.035,40.14,144.22,2887.65,3.06,1,0,0,62,Thailand,Wet,9,2022,0.439,1.0,1,imnv,simulated
28.87,22.22,8.55,9.17,1.028,331.23,116.15,2955.99,26.16,0,0,0,140,Malaysia,Wet,10,2018,0.317,0.94,1,imnv,simulated
32.67,8.33,6.11,3.65,2.376,229.72,62.56,2846.17,20.51,0,1,1,90,Philippines,Dry,7,2019,0.707,0.38,1,imnv,simulated
26.66,16.43,7.29,9.3,1.231,458.14,108.54,901.42,16.9,0,0,0,88,India,Wet,10,2023,0.195,0.88,1,imnv,simulated
26.13,17.62,8.45,2.24,1.948,244.87,14.35,2917.94,0.06,0,0,0,55,Thailand,Wet,6,2022,0.633,0.78,1,imnv,simulated
24.96,27.52,8.68,6.38,1.244,303.72,165.53,1331.19,12.78,0,0,0,77,India,Wet,12,2019,0.456,0.94,1,imnv,simulated
33.8,34.22,8.31,7.4,2.031,15.23,79.67,1113.37,0.96,0,0,0,51,Philippines,Dry,10,2019,0.447,0.59,1,imnv,simulated
31.74,7.18,8.62,2.36,3.688,236.32,48.92,4550.58,9.89,0,1,0,75,China,Wet,3,2018,0.775,0.43,1,imnv,simulated
23.72,1.47,8.41,9.34,0.672,489.09,41.64,2946.34,3.95,0,1,1,107,Philippines,Dry,5,2021,0.248,0.07,0,imnv,simulated
26.67,7.75,8.68,4.45,0.187,34.86,174.52,4282.97,20.49,1,0,1,143,Thailand,Wet,8,2020,0.402,0.92,1,imnv,simulated
26.9,31.73,6.64,7.01,1.849,408.4,11.82,3890.53,25.85,0,0,0,149,Malaysia,Dry,11,2020,0.448,0.44,0,imnv,simulated
25.97,23.06,6.18,5.31,2.088,279.97,159.01,1136.01,14.74,1,0,0,118,Indonesia,Dry,7,2020,0.608,1.0,1,imnv,simulated
29.11,6.48,7.09,3.9,0.318,447.2,159.92,2170.52,21.8,0,0,1,88,Thailand,Wet,1,2023,0.307,0.75,1,imnv,simulated
24.56,18.26,6.89,4.95,3.138,461.16,191.89,4041.41,0.33,0,0,1,134,Philippines,Dry,3,2020,0.603,0.89,1,imnv,simulated
31.73,13.33,8.75,3.72,4.175,338.29,40.2,3069.21,21.85,0,0,1,59,Thailand,Dry,4,2023,0.751,0.63,1,imnv,simulated
21.82,18.53,8.02,6.4,1.79,135.67,68.82,358.15,14.02,0,1,1,173,Thailand,Dry,6,2023,0.406,0.34,0,imnv,simulated
26.18,27.81,7.02,8.46,3.86,499.22,120.33,1117.46,3.62,1,0,1,155,Vietnam,Wet,11,2019,0.465,1.0,1,imnv,simulated
23.58,15.33,6.89,9.64,3.064,486.49,26.03,3954.93,10.66,0,1,1,86,India,Dry,7,2021,0.447,0.34,1,imnv,simulated
25.5,14.09,6.92,7.81,2.878,177.43,96.04,3591.21,9.95,0,1,0,118,China,Dry,1,2021,0.489,0.74,1,imnv,simulated
24.51,3.68,6.86,5.18,2.958,138.18,69.74,4024.2,22.85,0,1,1,48,Vietnam,Dry,9,2021,0.596,0.39,0,imnv,simulated
32.13,31.73,8.53,3.09,3.776,11.53,187.65,1133.19,0.31,0,0,1,97,China,Dry,7,2023,0.735,0.73,1,imnv,simulated
33.53,27.53,7.24,9.42,0.205,211.06,126.69,1964.47,3.48,0,0,0,130,Philippines,Dry,4,2019,0.085,0.56,1,imnv,simulated
27.29,1.47,6.54,5.1,1.731,47.26,166.9,1841.85,23.42,1,0,0,62,Vietnam,Dry,4,2020,0.516,0.89,1,imnv,simulated
32.92,8.75,7.69,4.57,4.519,368.77,122.13,1935.06,17.34,0,0,1,46,Indonesia,Dry,7,2019,0.546,0.58,1,imnv,simulated
33.75,29.06,6.05,7.22,3.978,322.17,118.16,4563.03,0.03,1,0,0,129,Malaysia,Dry,2,2020,0.668,0.79,1,imnv,simulated
22.42,11.81,6.97,2.33,3.085,413.97,40.7,464.43,24.72,0,0,1,129,Thailand,Wet,1,2022,0.677,0.63,1,imnv,simulated
20.84,23.98,7.7,8.04,3.457,180.35,172.37,542.03,18.67,0,0,0,168,India,Dry,2,2018,0.432,0.58,0,imnv,simulated
32.84,11.83,6.99,2.04,3.511,272.9,140.48,1003.52,22.77,0,0,1,173,Philippines,Wet,12,2020,0.684,0.98,1,imnv,simulated
24.69,23.49,7.75,9.55,0.751,131.79,55.98,2309.57,22.2,0,1,1,172,Indonesia,Wet,5,2022,0.14,0.46,0,imnv,simulated
33.57,30.76,6.85,7.16,4.905,144.36,170.79,2535.71,29.95,0,1,0,165,China,Dry,5,2019,0.536,0.49,0,imnv,simulated
24.35,2.41,6.22,9.26,1.415,189.82,75.5,4591.48,5.85,1,0,0,89,India,Wet,12,2021,0.395,0.99,1,imnv,simulated
24.37,6.16,7.65,9.95,3.289,386.42,92.45,1902.04,19.12,1,1,1,66,India,Dry,1,2022,0.36,0.78,1,imnv,simulated
32.41,33.53,6.14,4.35,0.168,429.11,93.76,387.75,20.73,1,1,0,119,Philippines,Dry,12,2022,0.434,0.57,1,imnv,simulated
20.13,1.64,6.06,7.17,3.988,228.59,86.09,4114.02,11.27,1,0,0,132,Malaysia,Dry,10,2023,0.668,0.69,0,imnv,simulated
25.8,34.53,7.03,2.53,0.142,183.21,182.09,3068.03,21.17,1,1,0,88,India,Dry,1,2018,0.343,0.7,1,imnv,simulated
33.3,15.06,8.91,6.98,3.877,353.7,174.4,2619.65,1.31,0,0,1,90,Malaysia,Wet,8,2022,0.669,0.89,1,imnv,simulated
22.49,11.51,6.12,5.28,3.498,198.88,120.01,4503.86,29.13,1,0,0,159,India,Wet,6,2020,0.721,0.94,1,imnv,simulated
24.71,33.87,6.53,5.88,0.69,246.91,110.25,1335.0,11.06,0,0,0,110,Indonesia,Dry,8,2018,0.376,0.57,0,imnv,simulated
28.74,23.34,6.16,9.43,2.374,219.16,196.54,2350.03,13.81,0,1,1,136,China,Dry,11,2020,0.506,0.79,1,imnv,simulated
20.96,5.93,6.45,7.0,3.056,220.71,66.94,2089.58,2.95,0,0,0,48,Indonesia,Dry,5,2018,0.608,0.24,0,imnv,simulated
31.71,10.38,8.32,3.07,4.555,263.3,103.65,2911.28,22.5,1,1,0,62,China,Dry,10,2023,0.701,0.93,1,imnv,simulated
33.22,31.46,6.66,2.21,3.817,323.1,115.42,1323.12,24.6,1,0,0,77,China,Dry,5,2018,0.733,0.88,1,imnv,simulated
30.05,2.73,7.47,7.36,0.544,144.64,70.07,3800.77,20.37,1,1,0,101,China,Wet,11,2019,0.153,0.71,1,imnv,simulated
21.4,34.8,6.42,6.83,0.417,63.82,73.37,3653.54,9.32,1,0,0,72,Thailand,Dry,7,2023,0.332,0.57,1,imnv,simulated
30.27,15.37,8.44,7.57,2.273,280.15,149.29,4662.87,3.97,0,0,1,107,Philippines,Wet,12,2019,0.49,0.99,1,imnv,simulated
28.75,29.66,8.79,4.1,2.47,427.9,145.49,4925.37,25.58,0,0,1,111,Indonesia,Wet,6,2018,0.686,0.84,1,imnv,simulated
29.52,32.57,6.0,8.84,4.12,289.99,157.52,104.02,28.81,1,0,0,59,Philippines,Dry,7,2023,0.622,0.89,1,imnv,simulated
