water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,ems_ahpnd_outbreak,disease_type,data_source
29.02,34.58,6.09,3.8,1.806,172.52,140.81,3364.84,3.23,0,0,1,117,Vietnam,Wet,6,2023,0.642,1.0,1,ems_ahpnd,simulated
32.46,20.37,7.03,8.51,4.142,365.79,20.36,2073.76,13.64,0,1,0,62,Malaysia,Wet,3,2020,0.461,0.63,1,ems_ahpnd,simulated
32.81,10.22,7.63,2.58,1.778,399.66,123.88,2576.13,15.23,0,0,0,113,Thailand,Wet,8,2022,0.467,1.0,1,ems_ahpnd,simulated
26.2,20.1,6.74,7.81,2.041,176.02,88.65,1797.26,15.24,0,0,1,57,China,Wet,5,2023,0.426,0.51,0,ems_ahpnd,simulated
28.45,28.51,8.67,9.66,2.814,280.95,60.07,3915.61,5.69,1,1,1,152,China,Wet,2,2021,0.519,1.0,1,ems_ahpnd,simulated
23.57,18.98,8.53,4.75,1.7,388.47,191.76,4586.6,21.21,0,1,1,132,Malaysia,Wet,4,2022,0.536,0.86,1,ems_ahpnd,simulated
23.12,24.39,8.92,8.27,1.823,467.91,122.32,1022.52,24.21,0,1,0,69,Malaysia,Wet,7,2018,0.497,0.66,1,ems_ahpnd,simulated
28.43,11.45,6.69,2.27,2.655,267.45,199.1,2247.87,0.02,0,0,0,84,Philippines,Dry,3,2018,0.688,1.0,1,ems_ahpnd,simulated
33.69,21.62,7.19,5.81,4.893,221.44,189.41,1076.77,13.31,1,1,0,126,Indonesia,Wet,1,2021,0.525,1.0,1,ems_ahpnd,simulated
21.51,22.01,6.01,5.25,4.286,245.19,64.53,4323.72,5.81,1,1,1,38,Indonesia,Wet,8,2021,0.74,0.66,1,ems_ahpnd,simulated
23.66,13.74,8.18,2.05,4.731,497.28,61.4,2185.96,16.49,1,0,0,120,Philippines,Wet,2,2022,0.712,0.98,1,ems_ahpnd,simulated
22.41,7.43,6.28,9.74,4.004,211.21,177.62,726.12,8.16,1,0,0,174,Indonesia,Dry,1,2020,0.545,1.0,1,ems_ahpnd,simulated
31.69,13.51,8.5,6.87,2.334,366.66,17.77,444.66,17.4,0,0,1,83,Philippines,Wet,7,2020,0.53,1.0,1,ems_ahpnd,simulated
31.37,8.11,6.93,5.97,1.22,200.94,118.77,4119.38,19.09,0,1,0,83,Thailand,Wet,7,2022,0.365,1.0,1,ems_ahpnd,simulated
27.86,5.02,6.6,2.11,1.469,466.26,112.9,1340.28,23.79,0,1,0,56,Thailand,Dry,6,2019,0.576,0.83,1,ems_ahpnd,simulated
32.9,0.5,6.88,7.29,1.413,412.85,69.57,2297.56,18.75,0,0,0,93,Philippines,Wet,7,2023,0.351,0.81,0,ems_ahpnd,simulated
25.84,15.06,8.98,5.1,0.827,363.96,119.68,1668.89,29.86,0,0,1,34,Malaysia,Dry,10,2022,0.502,0.7,0,ems_ahpnd,simulated
27.06,7.63,7.38,4.32,3.499,97.21,110.33,2601.61,12.22,0,0,1,32,Vietnam,Wet,4,2021,0.543,0.88,1,ems_ahpnd,simulated
33.16,16.52,7.04,4.47,0.399,162.85,52.27,4142.03,3.16,1,1,0,117,India,Wet,8,2021,0.305,0.87,1,ems_ahpnd,simulated
28.89,34.56,8.35,8.5,2.793,303.39,155.02,4385.4,1.77,0,1,1,142,Indonesia,Dry,9,2020,0.502,0.96,1,ems_ahpnd,simulated
33.62,8.34,8.51,3.67,0.065,218.95,110.67,642.74,26.16,0,1,1,74,India,Wet,8,2020,0.387,1.0,1,ems_ahpnd,simulated
33.85,9.86,8.52,5.81,1.294,181.74,141.93,1614.96,6.87,1,0,1,143,Malaysia,Wet,11,2020,0.453,1.0,1,ems_ahpnd,simulated
32.35,18.61,8.95,4.59,3.602,327.35,190.15,2909.88,1.46,0,1,0,56,China,Dry,12,2020,0.755,1.0,1,ems_ahpnd,simulated
33.4,27.56,7.63,4.75,1.599,213.91,149.85,2522.78,1.11,1,0,1,166,Thailand,Dry,12,2022,0.374,1.0,1,ems_ahpnd,simulated
21.02,20.4,6.78,4.59,0.303,379.7,70.81,4770.05,1.55,1,1,1,81,Malaysia,Dry,9,2019,0.334,0.4,0,ems_ahpnd,simulated
23.66,21.83,8.66,3.11,3.847,226.04,74.41,1652.28,26.42,1,1,0,133,Vietnam,Dry,4,2023,0.756,0.63,0,ems_ahpnd,simulated
34.42,34.84,8.22,9.26,2.32,188.77,136.37,3762.46,11.69,0,1,1,94,India,Wet,3,2023,0.402,1.0,1,ems_ahpnd,simulated
34.96,22.14,6.07,7.48,1.723,496.79,99.22,3811.38,22.56,0,1,0,176,China,Dry,10,2018,0.514,0.61,1,ems_ahpnd,simulated
30.86,33.3,6.27,8.35,4.815,466.58,143.32,783.54,22.61,0,1,0,119,Vietnam,Wet,2,2023,0.593,1.0,1,ems_ahpnd,simulated
25.41,11.96,6.83,8.75,3.065,159.15,180.53,4450.3,27.49,0,1,0,43,Vietnam,Wet,4,2021,0.487,0.81,1,ems_ahpnd,simulated
33.57,5.55,6.45,5.8,1.632,151.38,126.35,1610.92,13.4,1,1,1,55,India,Wet,3,2023,0.496,1.0,1,ems_ahpnd,simulated
22.22,25.87,7.1,6.2,0.863,269.95,182.37,1637.27,8.77,0,1,1,128,Thailand,Dry,1,2019,0.289,0.37,0,ems_ahpnd,simulated
32.77,19.05,6.53,6.78,3.255,144.74,98.7,4388.09,6.4,0,0,1,81,Vietnam,Dry,5,2022,0.602,0.91,1,ems_ahpnd,simulated
21.55,5.52,7.18,9.14,2.571,7.14,189.49,3534.89,12.16,0,1,1,102,Philippines,Dry,2,2023,0.368,0.68,1,ems_ahpnd,simulated
34.98,8.89,7.96,3.78,4.986,17.28,189.13,399.21,28.52,0,1,1,90,China,Wet,3,2021,0.617,1.0,1,ems_ahpnd,simulated
34.57,18.35,7.09,4.55,0.362,375.07,111.35,1723.32,18.46,1,0,0,177,Indonesia,Dry,11,2018,0.29,1.0,1,ems_ahpnd,simulated
24.68,14.94,6.11,7.85,3.871,373.73,150.56,3972.87,5.48,1,0,1,137,Philippines,Dry,2,2023,0.637,1.0,1,ems_ahpnd,simulated
29.19,11.74,7.53,7.07,0.53,411.41,82.15,4121.17,27.05,1,0,0,136,India,Wet,9,2022,0.162,0.97,1,ems_ahpnd,simulated
34.8,30.58,6.66,8.62,4.546,215.29,20.64,970.73,20.5,0,0,0,118,Indonesia,Wet,8,2018,0.519,0.81,1,ems_ahpnd,simulated
21.02,32.38,8.06,8.05,3.083,187.43,42.1,3339.99,0.77,1,0,1,141,India,Dry,9,2020,0.492,0.66,1,ems_ahpnd,simulated
33.95,23.0,8.33,6.0,0.403,227.54,154.47,1848.48,22.07,0,0,0,104,China,Dry,1,2019,0.316,0.85,1,ems_ahpnd,simulated
22.7,33.54,8.7,2.58,3.931,90.5,106.71,4311.68,20.4,0,0,1,130,Philippines,Dry,3,2018,0.781,0.83,1,ems_ahpnd,simulated
26.45,11.7,6.14,4.62,0.285,368.33,197.5,765.77,22.5,0,0,1,91,Thailand,Dry,3,2023,0.438,0.7,1,ems_ahpnd,simulated
31.13,5.89,6.75,5.18,0.76,486.59,116.62,2578.56,8.45,0,0,1,130,Indonesia,Wet,10,2019,0.37,1.0,1,ems_ahpnd,simulated
23.99,29.5,7.69,4.85,2.623,95.54,197.21,2661.41,19.22,0,1,1,92,China,Dry,11,2022,0.495,0.53,1,ems_ahpnd,simulated
24.79,0.71,8.92,8.03,1.362,335.54,172.44,3337.88,10.04,0,1,0,172,Vietnam,Dry,8,2021,0.454,0.56,1,ems_ahpnd,simulated
20.89,1.82,6.76,4.06,2.862,115.75,30.37,451.44,3.75,1,0,0,81,Malaysia,Wet,7,2020,0.639,0.71,1,ems_ahpnd,simulated
33.34,24.07,8.75,6.24,1.648,466.72,153.32,2446.43,23.42,1,1,1,31,India,Dry,7,2019,0.517,1.0,1,ems_ahpnd,simulated
20.87,10.23,8.64,5.76,0.518,3.34,30.07,107.7,13.09,0,0,1,63,China,Wet,5,2018,0.389,0.5,1,ems_ahpnd,simulated
23.71,12.78,7.21,3.09,3.039,354.28,101.8,2261.67,3.97,1,1,1,173,Thailand,Dry,12,2023,0.612,1.0,1,ems_ahpnd,simulated
22.94,16.45,6.21,4.52,1.308,323.76,22.74,1757.68,14.62,1,0,0,86,Thailand,Dry,6,2022,0.543,0.76,1,ems_ahpnd,simulated
25.5,25.92,8.65,5.18,2.61,268.65,75.69,986.12,24.17,1,0,1,37,Thailand,Dry,10,2020,0.642,0.66,0,ems_ahpnd,simulated
27.33,25.19,7.37,4.63,3.638,100.85,175.19,2302.69,13.9,1,0,1,147,Philippines,Dry,5,2022,0.534,0.88,1,ems_ahpnd,simulated
31.88,34.18,7.01,5.83,2.254,304.8,27.88,4654.37,19.9,1,0,1,150,Vietnam,Wet,12,2022,0.471,1.0,1,ems_ahpnd,simulated
33.84,18.16,8.24,4.35,0.548,337.21,193.61,1637.48,18.75,1,0,0,151,China,Dry,11,2018,0.373,1.0,1,ems_ahpnd,simulated
31.89,15.97,7.36,2.55,3.595,476.44,119.47,594.25,9.61,1,0,0,135,Vietnam,Wet,2,2018,0.605,1.0,1,ems_ahpnd,simulated
28.07,11.61,8.99,9.34,2.098,466.52,30.97,812.4,9.83,1,0,0,171,Vietnam,Dry,8,2019,0.503,1.0,1,ems_ahpnd,simulated
29.36,29.68,7.53,9.29,0.823,288.73,138.02,413.51,26.38,0,1,0,119,Malaysia,Wet,4,2020,0.12,0.77,1,ems_ahpnd,simulated
23.4,24.72,6.83,5.65,2.082,61.99,70.96,2870.88,29.13,0,1,0,141,China,Wet,9,2020,0.488,0.36,0,ems_ahpnd,simulated
32.71,9.48,6.92,2.04,3.732,135.86,159.03,1911.0,1.35,0,0,0,138,Indonesia,Dry,10,2021,0.695,1.0,1,ems_ahpnd,simulated
28.76,18.34,6.48,7.86,2.517,449.19,152.34,1596.97,13.6,0,1,1,180,Malaysia,Wet,12,2022,0.521,1.0,1,ems_ahpnd,simulated
33.44,13.12,8.39,7.14,2.983,344.83,164.37,2098.54,24.72,1,1,1,123,Philippines,Wet,12,2022,0.575,1.0,1,ems_ahpnd,simulated
30.0,25.45,8.86,5.87,0.335,29.92,143.16,1018.82,17.61,0,1,0,140,Malaysia,Wet,2,2021,0.402,0.85,1,ems_ahpnd,simulated
22.93,14.05,8.3,2.85,1.447,112.2,13.8,400.21,27.74,1,1,0,41,Indonesia,Dry,2,2019,0.532,0.78,1,ems_ahpnd,simulated
25.95,17.3,7.06,5.84,4.998,218.91,198.22,4418.6,17.27,1,0,1,140,Vietnam,Wet,7,2018,0.545,1.0,1,ems_ahpnd,simulated
31.42,6.25,8.09,3.26,3.604,458.39,140.64,1132.23,16.43,0,1,1,148,India,Dry,8,2019,0.656,1.0,1,ems_ahpnd,simulated
31.07,10.92,8.85,5.17,4.92,116.07,22.68,2600.35,29.87,1,1,0,115,India,Dry,7,2020,0.719,1.0,1,ems_ahpnd,simulated
34.83,17.93,8.94,2.36,1.021,310.18,84.25,4549.43,9.61,1,0,0,130,Thailand,Dry,1,2020,0.608,1.0,1,ems_ahpnd,simulated
33.06,16.49,6.28,3.08,3.965,336.01,164.95,3589.84,11.52,1,1,1,103,Malaysia,Dry,4,2020,0.767,1.0,1,ems_ahpnd,simulated
22.68,5.49,8.91,2.91,4.312,488.92,62.73,1741.21,21.04,1,0,1,170,Malaysia,Dry,9,2020,0.805,0.93,1,ems_ahpnd,simulated
23.6,33.85,6.1,4.66,1.122,57.87,81.85,4051.63,25.72,1,1,1,115,China,Wet,7,2019,0.536,0.66,1,ems_ahpnd,simulated
21.79,15.42,8.98,4.78,1.827,248.86,79.19,4789.01,18.69,1,0,1,166,India,Wet,2,2020,0.624,0.91,1,ems_ahpnd,simulated
22.86,32.49,7.76,8.7,4.837,273.08,92.46,949.34,28.01,1,0,1,93,Indonesia,Wet,1,2018,0.42,0.68,1,ems_ahpnd,simulated
22.81,23.29,6.19,2.7,4.002,475.74,175.79,2289.01,28.56,0,0,1,163,Indonesia,Wet,2,2019,0.795,0.93,1,ems_ahpnd,simulated
22.59,28.09,6.8,8.95,4.036,167.12,132.81,3378.29,18.73,1,1,0,58,Vietnam,Wet,2,2021,0.485,0.91,1,ems_ahpnd,simulated
30.25,2.69,6.45,7.6,4.58,385.01,57.17,4080.8,3.83,1,1,0,160,Thailand,Dry,5,2018,0.588,0.86,1,ems_ahpnd,simulated
21.62,20.4,7.33,6.92,2.676,21.78,169.61,3045.34,29.02,1,0,1,107,Philippines,Dry,7,2019,0.428,0.88,1,ems_ahpnd,simulated
27.31,32.41,6.75,7.82,2.606,9.06,107.85,4051.5,18.24,0,1,0,169,Thailand,Wet,4,2018,0.487,0.66,1,ems_ahpnd,simulated
30.69,0.88,8.98,6.42,3.705,347.44,179.71,1761.61,29.43,0,1,1,39,Malaysia,Dry,4,2018,0.699,0.96,0,ems_ahpnd,simulated
21.46,24.56,7.71,5.34,4.449,480.4,24.27,4571.69,26.4,1,1,1,96,Vietnam,Dry,12,2019,0.524,0.48,0,ems_ahpnd,simulated
30.91,19.81,8.59,5.17,0.793,228.52,163.66,3147.28,24.71,1,1,0,74,India,Dry,3,2022,0.431,1.0,1,ems_ahpnd,simulated
23.36,25.34,6.78,5.46,2.086,343.42,104.13,4517.38,3.6,1,1,1,155,China,Dry,1,2019,0.503,0.86,1,ems_ahpnd,simulated
28.62,12.09,6.17,3.88,2.507,337.71,85.26,3281.3,11.94,1,0,1,66,Malaysia,Wet,3,2019,0.704,1.0,1,ems_ahpnd,simulated
32.71,0.8,8.99,9.95,4.467,489.49,114.99,2497.07,7.64,0,1,0,85,Malaysia,Wet,8,2020,0.583,1.0,1,ems_ahpnd,simulated
28.16,4.15,8.24,7.5,4.276,100.04,56.63,4434.11,1.08,0,1,1,101,China,Dry,11,2023,0.54,0.66,1,ems_ahpnd,simulated
27.96,19.76,8.78,3.0,0.86,216.69,82.78,1966.36,5.88,1,1,0,147,India,Dry,4,2019,0.542,0.62,1,ems_ahpnd,simulated
23.54,28.22,7.41,3.85,1.272,266.21,126.47,3075.95,22.58,1,1,1,173,China,Dry,3,2019,0.361,0.9,1,ems_ahpnd,simulated
20.27,30.13,7.49,7.42,0.134,64.97,66.28,4350.98,0.53,1,1,1,146,Vietnam,Wet,4,2023,0.103,0.42,1,ems_ahpnd,simulated
34.91,29.36,6.85,3.97,0.366,371.49,45.39,1267.83,21.01,1,1,1,176,Malaysia,Dry,7,2021,0.35,0.87,1,ems_ahpnd,simulated
