water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,wssv_outbreak,disease_type,data_source
30.48,13.72,7.79,9.5,1.548,188.34,160.42,4084.61,20.1,0,1,1,34,Indonesia,Wet,4,2019,0.237,1.0,1,wssv,simulated
31.49,6.72,9.0,3.24,1.479,394.06,106.46,2744.88,22.16,0,1,0,126,Vietnam,Dry,12,2019,0.64,0.87,1,wssv,simulated
32.14,5.79,7.31,5.29,3.382,118.77,94.4,1496.15,22.46,1,0,0,109,China,Wet,6,2019,0.522,1.0,1,wssv,simulated
28.56,15.42,8.31,8.22,2.515,209.33,40.79,1078.52,18.14,1,0,1,125,Philippines,Dry,9,2023,0.474,1.0,1,wssv,simulated
24.28,26.71,6.82,9.24,0.737,218.74,189.82,1187.99,13.53,1,0,1,43,India,Wet,7,2019,0.221,1.0,1,wssv,simulated
25.62,0.99,8.79,8.71,3.25,395.69,36.14,1505.71,24.89,0,1,1,31,Thailand,Dry,4,2020,0.591,0.58,0,wssv,simulated
28.23,25.45,7.58,2.89,1.441,150.58,19.07,2157.15,23.82,1,0,0,157,Philippines,Dry,9,2023,0.41,1.0,1,wssv,simulated
30.78,10.19,6.0,4.82,2.853,93.66,136.96,2665.07,10.82,0,1,1,41,Malaysia,Wet,5,2020,0.74,1.0,1,wssv,simulated
25.36,2.36,6.72,7.26,0.518,290.95,153.77,753.71,10.57,1,0,1,152,Malaysia,Dry,2,2019,0.279,1.0,1,wssv,simulated
34.15,1.29,6.6,8.33,4.429,157.8,68.91,2051.3,24.46,1,1,0,78,Indonesia,Wet,11,2018,0.539,0.93,1,wssv,simulated
21.87,12.88,8.67,7.95,4.473,193.32,195.01,2531.4,14.93,1,0,1,50,India,Dry,5,2022,0.597,1.0,1,wssv,simulated
21.2,23.13,6.92,6.82,2.131,344.88,76.79,307.54,26.1,1,1,1,44,Thailand,Wet,9,2020,0.439,1.0,1,wssv,simulated
30.19,33.35,6.43,6.86,3.907,17.4,22.77,3914.73,10.99,1,0,0,145,Indonesia,Wet,2,2021,0.616,1.0,1,wssv,simulated
27.94,13.93,7.95,4.0,0.567,367.84,104.82,1996.24,16.85,1,1,1,84,Philippines,Wet,8,2023,0.338,1.0,1,wssv,simulated
22.04,2.59,6.52,7.71,4.986,405.26,193.84,4934.22,20.04,0,1,1,70,Malaysia,Dry,9,2020,0.573,0.53,1,wssv,simulated
34.78,27.72,6.71,5.95,1.804,286.14,98.81,4916.76,3.89,0,0,1,131,Malaysia,Wet,7,2022,0.467,0.93,1,wssv,simulated
32.35,2.58,8.92,7.14,2.25,340.05,75.46,4402.0,23.41,0,0,1,158,China,Dry,9,2018,0.582,0.53,1,wssv,simulated
22.47,11.29,8.13,4.77,4.705,447.46,170.73,1327.97,19.05,1,0,1,166,Thailand,Dry,10,2022,0.613,1.0,1,wssv,simulated
29.88,25.22,7.82,8.74,2.818,412.62,15.39,322.76,19.24,1,0,1,37,India,Wet,5,2023,0.408,1.0,1,wssv,simulated
32.07,23.97,6.89,2.58,0.3,219.8,102.01,1099.71,18.2,1,1,1,132,Vietnam,Wet,9,2022,0.382,1.0,1,wssv,simulated
23.63,4.29,7.35,3.13,0.253,472.69,174.19,2148.86,28.88,0,1,1,78,China,Dry,9,2021,0.282,0.44,0,wssv,simulated
33.19,17.41,6.27,5.15,2.286,120.36,120.84,338.42,8.44,1,1,0,57,India,Dry,12,2020,0.621,1.0,1,wssv,simulated
26.05,1.58,6.15,6.49,1.813,144.3,83.41,2306.74,16.5,0,0,0,130,Indonesia,Wet,6,2022,0.543,1.0,1,wssv,simulated
22.99,17.82,7.5,2.36,0.685,166.52,100.01,2339.24,18.19,0,1,1,71,India,Wet,6,2022,0.331,0.79,1,wssv,simulated
27.65,17.14,7.69,5.8,0.083,165.62,30.82,2141.05,9.23,0,1,1,178,Philippines,Dry,1,2023,0.181,0.6,1,wssv,simulated
22.56,22.02,7.86,8.73,0.739,340.36,16.0,4746.21,3.3,0,1,1,137,Vietnam,Wet,4,2023,0.184,0.45,1,wssv,simulated
31.62,32.22,8.62,7.89,0.311,69.04,49.39,1692.74,19.87,1,1,0,147,Philippines,Wet,6,2022,0.292,0.96,1,wssv,simulated
33.01,23.83,8.41,4.11,2.421,478.67,63.01,1562.65,28.24,1,1,0,155,Indonesia,Wet,9,2020,0.617,1.0,1,wssv,simulated
31.93,9.57,6.37,7.41,1.898,490.08,165.49,4777.58,24.14,1,0,1,50,Indonesia,Wet,5,2023,0.486,1.0,1,wssv,simulated
23.21,28.98,6.81,6.5,1.358,54.61,150.77,1272.48,1.52,0,0,0,55,India,Wet,8,2023,0.383,0.73,1,wssv,simulated
31.56,0.18,7.65,9.43,2.035,467.52,176.9,2439.5,5.98,1,1,1,45,China,Dry,10,2023,0.27,1.0,1,wssv,simulated
31.08,29.76,6.11,9.37,2.089,418.8,187.45,278.07,25.09,1,0,1,39,Thailand,Wet,10,2022,0.485,1.0,1,wssv,simulated
34.74,9.96,8.97,6.35,2.47,469.28,171.7,2393.3,5.78,0,1,0,147,Malaysia,Wet,3,2023,0.641,0.78,1,wssv,simulated
25.06,10.33,8.02,3.55,3.055,319.36,87.04,2195.75,9.84,1,0,0,65,India,Wet,1,2019,0.635,1.0,1,wssv,simulated
23.53,26.38,8.86,4.42,3.614,5.72,134.2,3494.57,1.86,0,1,1,70,India,Wet,2,2023,0.746,0.68,1,wssv,simulated
34.11,12.86,6.66,9.66,2.391,227.49,197.88,1930.76,21.06,1,0,0,50,Philippines,Wet,12,2022,0.417,1.0,1,wssv,simulated
33.76,3.93,8.49,9.22,1.011,268.33,41.26,4286.98,13.26,0,1,0,160,India,Dry,3,2021,0.303,0.38,0,wssv,simulated
26.85,2.02,7.39,8.46,3.616,197.97,165.13,3754.44,17.35,0,1,1,46,Philippines,Dry,8,2018,0.403,0.77,1,wssv,simulated
26.13,26.91,8.3,9.83,3.229,210.18,198.64,1974.15,26.09,1,1,0,168,Vietnam,Wet,3,2018,0.472,1.0,1,wssv,simulated
25.9,4.46,8.94,8.68,3.781,489.25,97.97,3623.56,12.72,1,0,0,147,Indonesia,Dry,4,2020,0.617,1.0,1,wssv,simulated
30.88,3.95,8.43,5.35,3.83,441.88,12.97,1109.8,3.03,0,1,0,92,Malaysia,Dry,8,2021,0.643,0.53,1,wssv,simulated
23.26,30.23,6.17,6.03,1.446,407.89,148.99,1662.63,17.94,1,0,1,66,Malaysia,Dry,5,2021,0.515,1.0,1,wssv,simulated
28.35,20.71,8.21,3.4,3.394,277.93,18.91,1787.63,19.3,1,1,1,134,Vietnam,Wet,3,2021,0.672,1.0,1,wssv,simulated
27.1,29.73,6.9,7.66,4.029,457.37,116.85,4842.15,16.72,0,1,0,95,Vietnam,Wet,2,2023,0.511,0.93,1,wssv,simulated
32.71,3.24,8.17,3.52,1.342,336.84,124.56,4380.74,5.64,0,1,0,115,Indonesia,Dry,4,2019,0.477,0.72,0,wssv,simulated
21.76,34.99,7.44,3.94,3.022,102.26,183.87,2805.19,23.27,1,1,1,108,Indonesia,Wet,8,2022,0.545,1.0,1,wssv,simulated
32.04,25.28,8.28,4.56,1.016,156.46,18.69,4334.02,22.24,0,1,1,105,Vietnam,Dry,4,2020,0.424,0.43,1,wssv,simulated
32.5,17.48,7.96,7.48,1.287,410.8,193.64,3244.3,14.72,0,1,0,65,Malaysia,Wet,9,2019,0.304,0.92,0,wssv,simulated
34.36,18.34,8.52,2.59,4.09,24.26,11.21,773.71,18.92,0,0,0,85,Philippines,Wet,1,2020,0.75,0.92,1,wssv,simulated
30.0,21.58,7.45,5.9,0.033,275.82,12.25,2694.15,8.24,1,0,1,75,Thailand,Dry,3,2022,0.149,1.0,1,wssv,simulated
29.3,8.83,7.06,8.36,0.395,479.65,97.21,1291.72,20.92,1,0,0,53,India,Wet,9,2021,0.172,1.0,1,wssv,simulated
29.55,24.6,6.25,8.76,3.225,165.64,195.69,4871.81,26.84,0,0,0,175,India,Wet,2,2018,0.583,1.0,1,wssv,simulated
24.21,19.01,7.97,3.43,4.252,7.83,49.36,806.54,24.62,1,0,1,71,Philippines,Dry,7,2022,0.631,1.0,1,wssv,simulated
28.11,13.43,8.22,8.32,3.447,39.21,151.64,1794.71,2.93,0,0,1,131,China,Wet,11,2018,0.509,1.0,1,wssv,simulated
34.89,17.17,7.07,9.53,2.159,339.85,135.53,519.9,18.56,0,0,0,98,Vietnam,Wet,11,2023,0.327,1.0,1,wssv,simulated
25.84,12.62,6.27,9.54,2.224,380.67,29.42,527.76,12.93,1,0,0,52,Indonesia,Dry,10,2022,0.467,1.0,1,wssv,simulated
32.96,0.43,7.24,8.23,3.624,279.77,198.62,1289.44,15.63,1,0,0,98,Indonesia,Wet,3,2021,0.436,1.0,1,wssv,simulated
26.52,14.74,7.45,2.62,1.258,123.3,128.76,3009.65,5.87,0,0,1,31,India,Wet,7,2022,0.394,1.0,1,wssv,simulated
24.94,11.72,8.45,8.88,4.871,68.06,70.93,4741.67,6.03,1,0,1,111,Indonesia,Wet,4,2022,0.529,1.0,1,wssv,simulated
24.2,27.51,7.1,9.46,0.999,498.63,44.19,3861.33,0.81,1,0,1,104,China,Dry,11,2021,0.196,0.6,1,wssv,simulated
29.5,8.47,7.98,7.72,3.945,36.98,198.23,2448.25,12.02,1,0,1,167,Philippines,Dry,4,2018,0.489,1.0,1,wssv,simulated
25.33,22.64,6.13,9.87,3.387,199.81,153.01,4832.01,12.91,0,0,1,86,Philippines,Dry,6,2021,0.566,1.0,1,wssv,simulated
31.59,20.6,7.5,4.76,0.123,52.27,89.04,4812.47,3.48,0,1,1,117,India,Dry,8,2022,0.188,0.85,1,wssv,simulated
21.46,25.27,7.36,2.54,0.223,355.39,14.29,1781.08,3.28,0,0,0,171,Vietnam,Wet,7,2022,0.297,0.39,0,wssv,simulated
23.48,14.18,6.55,7.12,2.161,14.6,126.68,1066.89,17.77,1,0,0,82,Indonesia,Dry,2,2022,0.494,1.0,1,wssv,simulated
28.05,12.8,6.59,2.91,3.354,244.74,193.52,1635.68,11.66,1,0,1,120,China,Wet,3,2022,0.721,1.0,1,wssv,simulated
30.59,10.41,7.84,2.68,0.67,58.93,68.02,996.92,20.8,1,1,0,177,India,Wet,8,2019,0.375,1.0,1,wssv,simulated
30.4,22.58,9.0,6.44,2.448,70.15,69.77,2309.9,1.61,1,0,1,64,Vietnam,Wet,9,2022,0.641,1.0,1,wssv,simulated
26.14,17.21,8.13,5.55,0.836,282.7,161.22,1180.59,0.98,0,1,0,147,Philippines,Wet,9,2022,0.346,1.0,1,wssv,simulated
21.71,27.13,8.47,4.93,4.113,20.81,146.61,2777.13,29.69,0,0,1,38,India,Wet,2,2020,0.664,0.78,1,wssv,simulated
34.91,27.15,6.71,8.49,2.94,175.32,145.04,3200.58,4.98,0,0,0,45,Philippines,Wet,5,2022,0.509,0.88,1,wssv,simulated
22.53,34.27,6.88,6.58,4.762,257.21,181.03,4094.39,4.07,1,0,1,62,Malaysia,Dry,3,2019,0.551,1.0,1,wssv,simulated
32.43,26.65,8.03,5.92,2.887,134.36,88.7,2314.76,19.01,0,1,1,124,India,Wet,10,2020,0.545,0.83,1,wssv,simulated
31.61,25.65,8.19,5.67,3.321,179.11,22.03,2718.68,6.53,1,0,1,98,Indonesia,Wet,9,2020,0.593,1.0,1,wssv,simulated
28.49,16.99,7.03,7.46,0.242,49.79,158.94,2351.95,3.73,0,1,1,30,India,Dry,3,2023,0.19,0.85,0,wssv,simulated
24.53,30.6,8.63,2.75,1.802,41.21,136.26,3279.66,1.55,1,0,1,53,Malaysia,Dry,4,2018,0.63,1.0,1,wssv,simulated
21.99,7.92,8.04,2.07,3.478,408.55,197.75,2169.34,3.97,0,0,1,52,Malaysia,Dry,6,2018,0.688,0.72,1,wssv,simulated
24.49,13.4,8.44,9.0,3.208,338.57,23.0,2860.13,18.31,0,1,1,84,Malaysia,Dry,10,2021,0.523,0.48,0,wssv,simulated
32.9,3.03,6.3,8.02,2.948,192.02,193.02,1641.07,4.19,1,0,0,171,Philippines,Wet,1,2023,0.594,1.0,1,wssv,simulated
29.88,10.56,7.55,6.08,3.739,147.77,20.37,4499.77,28.64,1,1,0,91,India,Dry,1,2022,0.472,1.0,1,wssv,simulated
34.01,4.62,8.58,6.55,1.827,341.47,154.92,4776.82,23.11,0,0,0,97,Vietnam,Dry,7,2018,0.498,0.73,1,wssv,simulated
29.43,17.54,7.25,7.61,0.412,268.28,127.05,1459.59,9.3,0,0,1,130,Philippines,Dry,12,2020,0.167,0.95,1,wssv,simulated
34.3,8.35,6.73,9.4,0.58,306.15,20.46,3363.79,19.74,0,0,0,65,Malaysia,Dry,8,2019,0.213,0.36,0,wssv,simulated
27.85,27.4,8.16,3.34,0.635,390.56,61.07,4443.43,23.14,0,1,1,99,Philippines,Dry,12,2020,0.403,0.55,0,wssv,simulated
29.41,17.37,7.53,2.44,4.297,83.44,39.89,3889.31,26.83,0,0,0,41,China,Dry,1,2019,0.59,0.86,1,wssv,simulated
25.74,5.25,8.79,8.86,2.764,456.97,150.73,2154.91,9.65,1,1,1,49,Philippines,Wet,9,2018,0.56,1.0,1,wssv,simulated
20.79,7.81,7.55,2.37,2.005,438.5,174.55,3890.28,9.32,0,1,0,124,Vietnam,Wet,5,2022,0.485,0.66,0,wssv,simulated
23.64,12.89,8.92,9.98,3.879,366.23,113.85,4000.27,4.52,1,0,0,168,Indonesia,Dry,1,2020,0.571,1.0,1,wssv,simulated
25.64,25.83,6.92,3.64,4.916,209.91,192.63,4865.54,4.27,1,0,0,89,China,Wet,6,2023,0.642,1.0,1,wssv,simulated
31.22,20.33,7.52,7.1,1.972,295.95,21.83,3345.98,3.92,1,1,1,130,Malaysia,Wet,8,2020,0.319,1.0,1,wssv,simulated
21.12,7.09,8.34,6.68,0.777,82.19,98.55,2091.91,16.08,0,1,1,148,Indonesia,Dry,3,2018,0.337,0.41,0,wssv,simulated
24.56,24.66,7.81,3.72,4.283,74.16,145.12,4845.16,11.89,0,1,1,74,Thailand,Wet,9,2021,0.594,0.91,1,wssv,simulated
23.75,16.17,8.41,3.12,0.06,415.19,196.69,740.5,24.71,1,0,1,49,Thailand,Dry,11,2019,0.388,1.0,1,wssv,simulated
21.93,31.68,8.49,4.65,0.213,230.5,41.92,2912.03,24.65,1,1,0,127,Malaysia,Wet,6,2019,0.367,0.66,1,wssv,simulated
22.81,9.79,8.65,2.28,3.096,122.89,66.07,2118.76,16.52,0,0,1,128,Vietnam,Wet,11,2019,0.782,0.62,0,wssv,simulated
27.89,22.08,8.41,8.36,4.947,390.96,78.23,2768.14,14.54,1,1,1,76,Thailand,Wet,4,2022,0.54,1.0,1,wssv,simulated
32.16,9.83,8.43,5.77,1.787,291.99,54.22,882.16,7.44,0,1,0,86,Philippines,Wet,3,2020,0.495,0.53,1,wssv,simulated
28.89,28.22,8.09,9.31,0.141,350.28,190.04,2861.67,16.89,0,1,1,74,India,Dry,1,2018,0.137,0.71,1,wssv,simulated
23.28,18.43,6.0,9.34,1.007,65.24,146.22,4602.03,25.33,1,0,0,67,Philippines,Dry,9,2018,0.384,1.0,1,wssv,simulated
34.41,13.08,8.83,5.16,0.505,150.88,35.93,871.77,28.46,1,1,0,173,Malaysia,Wet,11,2019,0.439,1.0,1,wssv,simulated
22.63,10.74,8.07,3.02,3.644,474.39,190.25,2018.85,29.83,0,0,1,86,Malaysia,Dry,3,2021,0.661,0.92,1,wssv,simulated
