water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,yhv_outbreak,disease_type,data_source
26.15,16.35,8.06,4.71,3.261,247.88,129.53,2047.41,4.8,0,1,1,152,Thailand,Wet,5,2018,0.603,1.0,1,yhv,simulated
26.26,4.76,7.82,9.25,0.806,159.43,71.97,4022.38,15.44,0,1,0,40,India,Wet,12,2023,0.168,0.45,0,yhv,simulated
25.74,3.55,6.08,3.46,0.827,264.51,196.76,2333.5,13.43,1,1,1,133,Vietnam,Wet,12,2018,0.547,1.0,1,yhv,simulated
27.82,31.61,6.44,2.02,3.277,38.37,181.85,3435.22,26.4,0,1,0,124,Philippines,Dry,9,2019,0.776,0.915,1,yhv,simulated
20.36,28.74,8.83,9.73,1.958,346.46,180.53,849.61,22.01,1,0,0,88,Thailand,Wet,10,2022,0.448,1.0,1,yhv,simulated
21.45,16.14,7.07,7.54,4.6,236.64,197.92,714.75,2.5,0,0,0,166,Malaysia,Dry,12,2018,0.487,0.79,1,yhv,simulated
23.68,27.11,8.05,4.86,3.829,24.28,113.1,432.51,17.81,1,1,0,155,China,Wet,1,2022,0.596,1.0,1,yhv,simulated
29.07,20.8,8.91,3.88,4.128,279.45,169.18,4732.35,4.17,1,1,0,141,India,Dry,11,2022,0.772,1.0,1,yhv,simulated
30.32,7.94,8.25,6.95,0.193,167.11,76.96,4835.77,5.45,1,1,1,66,Vietnam,Wet,6,2021,0.248,0.92,1,yhv,simulated
30.37,25.08,8.86,8.99,0.1,159.93,41.99,3278.89,27.78,1,0,1,178,China,Wet,8,2020,0.271,1.0,1,yhv,simulated
34.72,33.86,6.22,2.07,4.544,251.31,38.53,2763.52,17.16,1,1,1,108,Thailand,Dry,2,2023,0.811,0.84,1,yhv,simulated
25.69,2.5,7.88,8.57,3.569,402.56,188.46,4962.72,28.48,1,1,1,67,China,Wet,7,2022,0.444,1.0,1,yhv,simulated
21.17,14.44,8.37,5.94,4.571,374.94,108.59,1240.12,10.03,0,1,0,136,Thailand,Wet,5,2020,0.614,0.96,1,yhv,simulated
20.7,27.66,7.84,2.34,3.12,412.86,59.37,2288.78,26.68,1,1,0,107,China,Wet,8,2023,0.645,0.795,1,yhv,simulated
33.81,23.07,8.54,8.18,2.884,0.52,57.31,147.58,28.52,0,0,1,174,China,Wet,9,2023,0.554,0.885,1,yhv,simulated
30.79,4.88,7.4,8.94,4.002,366.05,154.49,3336.92,2.15,0,1,1,38,China,Dry,6,2021,0.385,0.79,1,yhv,simulated
29.85,3.64,6.93,6.43,1.037,451.65,109.75,4381.67,18.04,0,1,1,176,Vietnam,Wet,2,2022,0.329,1.0,1,yhv,simulated
26.16,10.7,6.46,9.33,1.197,383.36,165.75,933.47,29.75,1,0,0,150,Indonesia,Wet,8,2022,0.329,1.0,1,yhv,simulated
25.89,7.32,8.23,7.84,3.742,222.93,48.91,4594.2,2.81,0,0,0,107,Malaysia,Dry,7,2019,0.527,0.31,0,yhv,simulated
27.83,35.0,6.21,6.06,0.894,363.68,120.91,4385.46,7.35,0,0,1,96,Thailand,Dry,5,2020,0.446,0.82,1,yhv,simulated
23.84,15.27,7.83,5.38,1.127,430.38,124.94,4510.67,17.19,0,1,1,60,Malaysia,Dry,5,2023,0.334,0.74,0,yhv,simulated
28.32,27.55,6.93,8.75,3.547,148.13,43.26,4075.34,7.92,0,0,0,166,Philippines,Dry,8,2021,0.47,0.56,1,yhv,simulated
20.06,14.52,6.06,9.6,0.845,28.32,17.09,2401.62,9.89,1,1,1,146,Malaysia,Dry,5,2018,0.347,0.67,0,yhv,simulated
33.0,19.5,6.5,4.78,3.9,26.93,70.99,1293.19,0.93,0,1,1,120,Vietnam,Dry,10,2023,0.674,0.71,1,yhv,simulated
21.5,9.73,7.77,2.4,0.399,254.28,130.0,3881.52,24.06,0,0,0,71,Malaysia,Wet,8,2018,0.343,0.755,1,yhv,simulated
23.83,4.75,6.39,7.87,1.844,414.87,128.26,2293.87,1.99,1,0,0,118,Vietnam,Dry,12,2018,0.461,1.0,1,yhv,simulated
25.15,23.01,6.7,2.45,0.944,383.78,180.72,3820.35,19.79,0,0,0,30,Malaysia,Wet,7,2022,0.49,1.0,1,yhv,simulated
31.43,34.94,8.66,6.28,0.245,72.05,69.64,957.58,2.69,1,1,0,97,Vietnam,Dry,4,2018,0.345,0.67,1,yhv,simulated
31.53,8.71,7.72,2.71,4.28,356.7,136.74,2263.68,29.14,1,1,1,157,India,Dry,9,2020,0.613,1.0,1,yhv,simulated
33.62,3.31,7.9,3.53,4.528,124.88,94.57,3390.96,1.99,1,1,0,129,Malaysia,Dry,3,2021,0.616,1.0,1,yhv,simulated
22.84,32.75,8.91,7.11,2.509,328.13,195.99,1622.86,7.51,1,1,1,119,Malaysia,Dry,11,2023,0.61,0.96,1,yhv,simulated
32.62,26.06,7.32,7.02,4.454,493.9,84.35,1212.52,16.8,1,0,0,119,China,Dry,6,2021,0.463,0.84,1,yhv,simulated
34.85,12.19,6.91,8.0,1.313,22.2,38.83,1120.01,26.29,0,0,1,33,Philippines,Dry,12,2018,0.311,0.685,1,yhv,simulated
21.21,5.19,6.92,9.28,2.283,196.15,97.01,2381.27,21.59,1,1,1,75,Indonesia,Wet,1,2021,0.374,1.0,1,yhv,simulated
20.43,29.72,8.58,3.65,1.349,464.6,26.56,4823.07,6.12,1,0,1,152,Indonesia,Dry,10,2020,0.542,0.815,1,yhv,simulated
27.63,16.54,8.18,4.21,2.319,410.66,42.83,3521.6,3.33,0,0,0,164,Philippines,Wet,6,2018,0.564,0.96,1,yhv,simulated
30.89,18.0,6.66,3.35,0.446,22.7,157.67,2791.21,16.28,0,1,0,96,Philippines,Dry,11,2021,0.411,0.975,1,yhv,simulated
32.15,23.14,7.46,5.26,4.749,341.86,118.13,2753.4,2.19,0,1,1,33,Malaysia,Dry,9,2023,0.498,0.99,1,yhv,simulated
34.44,10.6,7.85,8.63,0.81,177.4,63.92,3289.74,0.87,0,0,1,102,Vietnam,Wet,2,2019,0.194,0.475,1,yhv,simulated
20.91,3.69,8.18,3.05,2.246,13.05,189.73,4251.5,4.84,0,0,0,129,Vietnam,Dry,3,2019,0.595,0.765,1,yhv,simulated
20.76,15.26,6.76,4.21,2.132,74.83,120.97,4900.87,22.24,1,0,0,51,Vietnam,Wet,5,2021,0.553,1.0,1,yhv,simulated
26.98,30.59,7.95,2.87,1.657,183.94,50.65,413.4,20.3,1,0,1,103,India,Dry,1,2019,0.497,0.995,1,yhv,simulated
20.68,18.38,6.16,6.23,2.099,299.43,117.33,4438.77,12.27,1,0,0,135,China,Dry,3,2021,0.582,1.0,1,yhv,simulated
34.97,20.19,7.3,8.67,0.779,103.55,184.09,4775.93,18.75,1,1,0,166,Thailand,Dry,1,2023,0.164,1.0,1,yhv,simulated
24.93,22.82,7.12,4.52,2.118,263.95,97.34,4933.49,26.13,1,0,1,162,Malaysia,Dry,11,2019,0.481,1.0,1,yhv,simulated
32.07,8.84,8.34,6.2,4.83,227.91,81.76,3906.35,27.13,1,1,1,92,Indonesia,Dry,5,2018,0.6,0.86,1,yhv,simulated
25.78,17.36,8.12,7.29,0.513,472.21,23.88,228.61,14.41,0,0,1,170,Vietnam,Wet,1,2019,0.251,0.62,1,yhv,simulated
30.22,30.33,8.86,2.65,1.957,252.39,81.0,1082.93,25.87,1,1,0,31,India,Wet,3,2021,0.689,1.0,1,yhv,simulated
22.54,13.56,7.68,4.49,0.131,424.09,43.48,4841.98,2.67,1,0,1,151,Malaysia,Wet,11,2022,0.228,0.9,1,yhv,simulated
20.74,8.12,7.9,7.0,0.98,414.65,51.06,4696.36,4.82,0,1,1,134,Vietnam,Wet,6,2020,0.276,0.25,0,yhv,simulated
32.2,5.54,8.73,9.76,2.055,292.43,103.86,934.78,3.88,1,1,0,50,India,Wet,11,2020,0.441,1.0,1,yhv,simulated
30.65,12.74,6.45,7.89,3.506,35.38,90.63,1387.11,26.14,0,1,0,117,Philippines,Dry,10,2022,0.579,1.0,1,yhv,simulated
24.14,5.54,7.97,9.73,1.437,449.94,101.05,1812.16,11.13,0,0,1,86,India,Dry,7,2021,0.247,0.64,1,yhv,simulated
28.51,6.94,7.3,2.88,2.298,429.88,37.96,3211.39,3.04,1,0,0,168,Malaysia,Wet,3,2019,0.526,1.0,1,yhv,simulated
21.07,11.22,6.86,9.14,2.147,23.51,98.56,2213.62,27.69,0,0,1,175,China,Dry,10,2022,0.374,0.71,1,yhv,simulated
29.0,17.33,7.38,4.48,1.687,489.98,62.4,3976.16,5.26,0,1,1,178,India,Wet,12,2022,0.391,0.84,1,yhv,simulated
22.87,6.92,6.92,8.95,3.791,87.09,131.3,3513.43,25.33,1,1,0,77,Thailand,Wet,4,2021,0.465,1.0,1,yhv,simulated
31.35,4.64,8.65,6.29,4.066,347.55,179.55,4642.79,12.7,1,0,0,85,Indonesia,Dry,4,2022,0.649,1.0,1,yhv,simulated
29.62,27.4,6.68,4.63,0.395,205.43,83.31,4401.4,3.09,1,1,1,104,China,Wet,10,2019,0.36,0.92,1,yhv,simulated
31.65,0.36,8.44,2.98,0.336,27.9,190.7,3346.62,16.53,1,1,0,110,India,Wet,6,2021,0.428,1.0,1,yhv,simulated
26.84,18.01,8.03,3.42,1.708,358.21,113.03,3811.65,6.83,0,1,1,178,India,Dry,6,2021,0.497,1.0,1,yhv,simulated
25.52,15.04,8.46,7.68,2.417,30.77,26.03,3252.73,2.28,0,1,1,37,Philippines,Wet,7,2020,0.506,0.66,1,yhv,simulated
28.34,28.06,7.75,4.49,2.73,341.96,182.88,1088.41,17.94,1,0,1,116,Indonesia,Dry,9,2018,0.529,1.0,1,yhv,simulated
22.31,4.01,8.79,3.05,1.365,146.75,81.84,1529.5,18.38,0,1,0,40,Malaysia,Dry,2,2020,0.598,0.315,1,yhv,simulated
20.19,10.35,6.84,9.18,4.853,94.45,84.77,496.35,14.04,1,1,1,76,China,Dry,8,2023,0.471,0.61,0,yhv,simulated
31.1,27.76,7.9,4.33,2.7,177.6,163.65,591.24,11.65,0,1,0,89,Malaysia,Wet,2,2023,0.556,0.94,1,yhv,simulated
27.75,26.82,7.52,5.73,1.211,85.59,107.0,3627.67,12.28,0,1,1,91,Thailand,Wet,12,2018,0.28,0.99,1,yhv,simulated
34.88,4.16,8.7,3.06,2.109,426.42,182.6,4530.42,13.39,0,0,1,119,Vietnam,Dry,10,2018,0.666,0.94,1,yhv,simulated
29.31,16.3,6.92,6.74,3.048,425.06,72.72,308.22,16.74,1,0,1,47,Philippines,Dry,6,2023,0.539,1.0,1,yhv,simulated
28.31,29.29,6.76,3.46,4.182,138.51,98.36,2485.68,26.05,0,0,0,56,Philippines,Dry,4,2020,0.675,1.0,1,yhv,simulated
28.2,0.68,6.08,6.25,3.843,241.08,31.64,3125.43,23.17,0,1,0,59,China,Dry,9,2021,0.695,0.46,0,yhv,simulated
31.88,11.88,7.75,8.65,1.621,65.78,177.82,931.02,14.5,1,1,0,149,Thailand,Dry,4,2023,0.267,1.0,1,yhv,simulated
26.21,15.08,7.76,9.3,2.955,308.65,33.32,2910.46,16.91,1,1,0,60,Malaysia,Wet,8,2022,0.395,1.0,1,yhv,simulated
27.71,32.78,6.76,4.98,4.651,308.47,154.75,2332.47,24.27,1,0,0,153,Malaysia,Dry,2,2022,0.624,1.0,1,yhv,simulated
27.47,21.04,6.39,3.52,0.066,206.43,179.57,4449.8,15.15,0,0,0,76,China,Wet,8,2022,0.408,1.0,1,yhv,simulated
20.41,21.77,7.41,3.46,0.176,201.01,109.87,3754.53,1.88,1,1,1,78,China,Dry,3,2023,0.253,1.0,1,yhv,simulated
34.23,16.83,6.74,9.88,4.092,218.1,185.27,4682.46,15.4,0,0,1,52,Philippines,Dry,10,2021,0.464,1.0,1,yhv,simulated
20.68,15.49,6.9,4.79,4.06,15.7,96.06,4511.85,3.22,1,1,1,170,Vietnam,Wet,7,2019,0.607,1.0,1,yhv,simulated
30.86,30.48,8.15,3.95,2.865,37.87,27.39,1473.38,29.12,1,0,0,87,Philippines,Dry,3,2022,0.628,1.0,1,yhv,simulated
26.64,4.23,7.21,3.16,1.069,130.74,152.77,4498.15,8.51,1,1,1,140,Thailand,Dry,6,2023,0.395,1.0,1,yhv,simulated
21.0,8.52,7.47,5.76,0.678,359.32,71.86,3955.82,22.02,1,1,0,31,Indonesia,Wet,4,2022,0.222,0.55,1,yhv,simulated
31.68,10.8,8.74,7.74,0.219,377.97,104.46,2126.97,1.81,0,1,1,33,Malaysia,Dry,12,2019,0.306,0.72,0,yhv,simulated
28.77,5.19,7.0,7.42,2.045,429.14,86.19,1562.55,20.13,1,0,0,32,Vietnam,Wet,9,2021,0.397,1.0,1,yhv,simulated
23.45,29.93,8.77,7.35,2.958,125.86,94.93,481.92,29.31,0,1,0,124,India,Dry,9,2020,0.629,0.56,1,yhv,simulated
23.97,9.27,6.37,4.49,0.471,406.0,71.76,321.31,16.0,1,0,0,164,Philippines,Dry,1,2022,0.424,0.52,1,yhv,simulated
31.31,18.77,6.56,4.92,3.818,271.32,169.88,198.64,20.27,0,0,0,89,Vietnam,Wet,3,2020,0.659,1.0,1,yhv,simulated
31.42,10.49,8.05,4.12,4.304,304.75,186.48,1547.19,14.49,1,1,0,105,Vietnam,Wet,6,2022,0.621,1.0,1,yhv,simulated
33.33,8.44,7.38,6.61,1.748,495.8,58.53,3259.92,13.25,1,0,1,115,Thailand,Dry,4,2018,0.327,0.765,1,yhv,simulated
21.29,21.84,6.51,9.95,2.699,170.89,10.13,3493.69,23.53,1,0,1,72,India,Wet,12,2019,0.467,1.0,1,yhv,simulated
34.11,18.37,7.45,6.69,2.922,142.63,17.96,1060.63,29.42,1,1,0,43,India,Wet,6,2022,0.443,1.0,1,yhv,simulated
33.63,28.22,7.2,8.3,0.755,82.81,118.4,2584.52,15.68,0,1,1,41,Vietnam,Wet,6,2021,0.191,0.725,1,yhv,simulated
27.86,7.44,7.09,8.54,3.377,175.56,15.65,2464.64,10.68,1,1,0,44,Philippines,Wet,10,2019,0.45,0.94,1,yhv,simulated
24.41,21.06,7.44,4.37,4.797,459.12,145.83,3628.67,0.06,0,1,0,178,Thailand,Wet,9,2020,0.531,0.89,1,yhv,simulated
22.62,15.84,7.93,8.76,0.843,463.18,16.21,2093.31,28.34,0,1,0,130,India,Dry,11,2023,0.207,0.2,1,yhv,simulated
30.59,3.78,6.12,2.62,2.035,178.23,23.37,2049.15,0.75,1,1,1,88,Indonesia,Dry,10,2021,0.702,0.965,0,yhv,simulated
28.49,1.44,6.91,6.95,3.172,435.14,66.35,1459.35,3.26,1,1,1,141,Vietnam,Dry,8,2022,0.533,0.86,1,yhv,simulated
32.31,6.4,7.04,6.92,4.313,366.12,19.84,613.09,14.9,1,1,1,126,Vietnam,Dry,3,2018,0.513,0.79,1,yhv,simulated
20.86,34.59,6.89,5.7,4.545,484.82,155.6,784.59,1.55,1,1,1,162,China,Dry,11,2021,0.578,0.96,0,yhv,simulated
26.68,11.28,8.43,7.44,4.976,177.97,115.05,4842.13,6.29,1,0,0,136,Vietnam,Wet,8,2021,0.574,1.0,1,yhv,simulated
32.55,20.98,7.64,6.5,0.493,296.89,175.4,1999.34,7.18,0,1,1,140,China,Wet,3,2018,0.195,1.0,1,yhv,simulated
26.1,19.76,8.37,7.22,2.846,34.27,117.69,3927.86,21.99,1,1,1,167,India,Dry,3,2018,0.554,1.0,1,yhv,simulated
32.03,8.27,7.63,3.03,2.422,94.78,170.27,2228.38,18.49,1,0,0,161,Vietnam,Wet,3,2022,0.523,1.0,1,yhv,simulated
28.68,13.3,6.31,2.72,0.931,406.4,89.03,524.51,3.9,0,1,1,148,India,Wet,3,2022,0.544,0.875,1,yhv,simulated
29.44,6.4,6.52,8.94,1.925,311.22,153.78,1309.06,16.39,1,0,1,106,Thailand,Wet,10,2019,0.413,1.0,1,yhv,simulated
29.85,24.26,8.32,4.86,0.592,7.08,84.71,456.47,7.13,1,1,1,59,Vietnam,Dry,5,2019,0.374,0.92,1,yhv,simulated
33.7,16.15,6.41,9.64,3.855,48.94,132.36,3620.63,15.81,0,1,1,84,Vietnam,Wet,3,2023,0.527,1.0,1,yhv,simulated
20.95,33.52,6.09,4.61,2.898,366.28,94.48,1567.6,11.65,1,0,0,108,Indonesia,Wet,5,2022,0.737,1.0,1,yhv,simulated
22.88,18.91,7.5,2.31,3.485,98.17,24.85,815.69,5.67,1,1,0,154,China,Wet,3,2018,0.59,0.995,1,yhv,simulated
21.52,21.79,6.7,4.12,1.25,459.68,55.06,824.59,18.98,1,1,1,153,Philippines,Dry,8,2019,0.468,0.81,1,yhv,simulated
27.17,18.67,6.59,7.93,2.928,271.12,192.76,4706.32,26.97,1,1,1,75,Thailand,Dry,4,2018,0.546,1.0,1,yhv,simulated
20.02,3.68,6.97,3.23,2.895,177.15,12.91,461.09,18.71,1,1,1,168,India,Dry,6,2021,0.636,0.715,1,yhv,simulated
21.33,34.54,7.67,2.97,4.661,97.58,130.4,3304.46,7.59,1,1,0,61,Malaysia,Wet,6,2018,0.596,1.0,1,yhv,simulated
22.02,11.84,6.66,5.15,1.826,432.73,177.18,3095.6,12.93,1,0,0,127,Philippines,Dry,8,2021,0.505,1.0,1,yhv,simulated
31.29,8.26,8.29,3.81,2.468,262.27,58.01,2763.06,7.29,1,1,0,143,Malaysia,Dry,7,2022,0.612,0.915,1,yhv,simulated
24.29,5.75,7.38,2.04,1.068,211.08,135.65,2549.28,7.28,1,0,1,116,Malaysia,Wet,2,2019,0.404,1.0,1,yhv,simulated
24.75,22.12,8.68,3.53,1.499,390.0,82.97,3906.26,24.42,1,1,0,160,Thailand,Wet,5,2018,0.579,1.0,1,yhv,simulated
32.29,19.44,6.69,2.56,3.395,296.7,144.18,1939.96,3.71,1,0,1,88,Philippines,Wet,6,2019,0.716,1.0,1,yhv,simulated
27.25,22.92,8.51,3.74,4.387,320.12,43.83,3403.97,23.73,1,1,0,89,Indonesia,Wet,7,2020,0.71,1.0,1,yhv,simulated
31.53,23.66,8.75,5.26,1.856,463.35,99.11,1494.57,2.74,0,0,1,102,Thailand,Dry,3,2018,0.573,1.0,1,yhv,simulated
24.83,34.04,7.81,9.22,4.477,155.75,12.02,2405.63,21.93,1,0,0,64,Thailand,Dry,11,2018,0.411,0.59,1,yhv,simulated
20.24,31.24,7.93,3.24,0.963,32.56,53.54,1310.17,0.42,0,1,1,48,Indonesia,Dry,2,2021,0.404,0.155,0,yhv,simulated
22.79,7.1,7.95,7.72,3.075,65.73,160.5,1085.1,27.85,0,1,0,180,China,Dry,4,2018,0.484,0.49,1,yhv,simulated
28.37,9.59,8.22,2.45,2.295,65.24,128.58,3696.68,24.88,1,0,1,59,China,Dry,2,2021,0.627,1.0,1,yhv,simulated
22.1,5.75,6.58,7.74,2.131,271.74,79.74,3412.71,12.04,0,1,0,123,Indonesia,Dry,7,2021,0.465,0.21,0,yhv,simulated
21.71,27.11,6.63,2.22,2.571,352.3,195.29,2929.29,9.17,1,0,1,141,Indonesia,Dry,12,2019,0.69,1.0,1,yhv,simulated
27.74,34.32,6.65,9.73,1.338,282.55,61.78,1250.95,9.11,1,0,0,154,Thailand,Dry,1,2018,0.299,0.91,1,yhv,simulated
26.77,8.84,7.86,8.1,3.738,271.5,146.61,4599.66,12.42,0,1,0,44,Thailand,Dry,7,2018,0.457,0.74,0,yhv,simulated
31.56,11.32,8.75,5.95,3.974,117.56,68.21,4504.74,11.41,1,1,0,161,Philippines,Wet,4,2020,0.677,1.0,1,yhv,simulated
27.07,23.11,6.48,6.42,4.909,376.45,47.72,3046.8,1.13,1,1,1,151,Indonesia,Dry,8,2023,0.623,1.0,1,yhv,simulated
27.07,15.98,6.17,6.63,3.854,455.44,195.58,3793.53,0.3,1,1,1,56,India,Wet,7,2019,0.667,1.0,1,yhv,simulated
23.63,31.57,8.32,8.68,2.711,242.24,32.74,1736.15,29.43,0,0,0,131,Malaysia,Dry,6,2018,0.482,0.31,0,yhv,simulated
33.66,3.11,8.09,9.7,4.661,381.74,106.91,1635.18,3.34,0,1,1,108,Malaysia,Wet,7,2023,0.442,0.935,1,yhv,simulated
26.08,8.53,8.84,7.63,2.215,53.65,23.96,3869.67,13.26,0,0,0,171,China,Wet,8,2022,0.548,0.76,1,yhv,simulated
23.77,21.03,6.78,6.63,3.547,107.52,134.75,4697.13,23.53,0,0,0,90,India,Dry,6,2020,0.566,0.86,1,yhv,simulated
21.33,21.45,6.43,5.67,2.513,292.69,24.09,2073.08,27.37,0,0,0,115,Malaysia,Wet,2,2022,0.602,0.71,1,yhv,simulated
28.36,3.53,6.25,8.94,4.903,493.77,133.4,4575.54,29.31,1,1,0,51,Philippines,Wet,5,2018,0.577,1.0,1,yhv,simulated
20.73,11.19,7.14,8.33,1.68,319.78,153.1,3257.87,13.62,0,1,0,162,Malaysia,Dry,3,2023,0.302,0.49,1,yhv,simulated
30.76,15.11,7.84,3.46,4.458,149.08,16.18,444.07,27.77,0,1,1,74,Indonesia,Wet,4,2023,0.608,0.945,1,yhv,simulated
21.37,0.61,7.74,6.75,4.982,164.5,124.17,2499.14,10.86,0,1,1,157,Thailand,Wet,10,2023,0.482,0.74,1,yhv,simulated
22.84,15.44,7.54,4.46,2.422,392.17,59.7,701.07,20.99,0,1,0,32,India,Dry,9,2021,0.46,0.34,0,yhv,simulated
32.51,7.87,8.98,5.13,4.394,5.76,106.05,4136.07,1.18,0,1,1,38,Thailand,Dry,11,2022,0.742,0.86,1,yhv,simulated
24.85,11.05,8.04,6.8,4.544,161.99,138.92,4764.48,24.25,1,1,0,164,India,Dry,5,2018,0.53,0.91,1,yhv,simulated
33.51,34.44,6.05,9.17,4.29,434.95,35.53,4242.43,12.25,0,0,0,30,Vietnam,Wet,7,2023,0.603,0.635,1,yhv,simulated
24.04,17.79,6.23,9.07,2.443,325.78,142.22,2175.0,9.39,0,0,0,154,India,Dry,11,2018,0.514,0.86,1,yhv,simulated
29.68,9.33,8.17,4.2,4.114,158.89,145.91,3923.89,4.75,0,0,1,141,Thailand,Dry,4,2019,0.638,0.96,1,yhv,simulated
25.75,27.65,7.31,2.32,4.311,458.66,152.22,2743.69,3.11,1,0,0,176,Malaysia,Dry,5,2019,0.621,1.0,1,yhv,simulated
26.37,15.24,8.7,4.18,4.367,92.34,71.85,4057.09,9.44,1,0,1,110,Thailand,Wet,2,2021,0.727,1.0,1,yhv,simulated
23.34,16.62,7.55,3.52,0.778,424.44,62.1,1770.94,15.31,0,0,1,107,India,Wet,8,2021,0.311,0.655,0,yhv,simulated
24.51,34.99,8.38,5.63,3.779,263.08,87.08,3030.37,26.13,0,1,1,160,Philippines,Wet,8,2018,0.626,0.46,0,yhv,simulated
31.86,26.61,6.97,7.46,0.923,192.74,29.35,591.95,5.28,1,1,0,138,Indonesia,Dry,11,2023,0.276,0.67,1,yhv,simulated
22.54,7.34,8.78,2.75,4.368,334.52,157.98,946.76,7.19,1,1,1,70,Vietnam,Dry,4,2020,0.788,1.0,1,yhv,simulated
31.21,21.13,7.93,6.33,4.837,415.19,34.55,3352.45,6.12,1,0,1,133,Thailand,Dry,10,2019,0.527,1.0,1,yhv,simulated
33.12,17.69,6.14,8.16,4.877,446.29,150.87,1102.6,22.23,1,0,1,128,Philippines,Wet,6,2023,0.621,1.0,1,yhv,simulated
30.52,7.14,6.81,9.46,1.14,346.53,172.43,2512.43,11.94,1,0,0,90,Vietnam,Wet,4,2019,0.26,1.0,1,yhv,simulated
34.11,24.78,8.22,2.65,4.32,270.82,44.35,191.44,19.48,1,0,0,54,Vietnam,Dry,9,2019,0.698,1.0,1,yhv,simulated
32.92,34.24,7.8,4.64,3.002,226.5,153.08,4650.29,26.64,0,0,1,75,China,Dry,7,2019,0.562,0.89,1,yhv,simulated
32.59,1.15,8.77,8.34,3.874,358.42,97.98,2351.39,7.13,1,1,1,96,Philippines,Wet,9,2023,0.6,1.0,1,yhv,simulated
29.48,21.49,7.83,6.02,2.607,28.12,118.81,4347.87,13.33,0,1,1,124,Malaysia,Wet,7,2021,0.477,1.0,1,yhv,simulated
31.97,15.11,6.76,6.23,1.263,238.94,63.02,1649.59,3.62,1,1,0,44,Philippines,Wet,12,2023,0.389,1.0,1,yhv,simulated
24.74,31.89,7.38,3.97,2.923,177.29,160.26,3518.5,25.49,1,1,1,167,Thailand,Dry,4,2021,0.546,0.995,1,yhv,simulated
30.0,14.3,6.7,6.42,4.393,34.28,16.72,4380.35,18.22,1,0,1,109,Thailand,Dry,4,2020,0.586,1.0,1,yhv,simulated
26.56,14.85,7.7,7.64,0.433,494.52,94.64,4310.52,8.32,1,1,0,90,Philippines,Wet,4,2022,0.16,1.0,1,yhv,simulated
33.49,2.58,6.35,9.59,0.669,260.71,25.26,1618.62,21.0,1,1,1,91,Vietnam,Wet,5,2018,0.28,0.795,1,yhv,simulated
