water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,disease_history,probiotics_used,antibiotics_used,culture_duration,country,season,month,year,water_quality_index,outbreak_probability,wssv_outbreak,disease_type,data_source,ems_ahpnd_outbreak,ihhnv_outbreak,yhv_outbreak,imnv_outbreak
24.93,16.89,8.44,9.7,1.978,21.88,21.72,944.9,12.27,1,0,0,148,Thailand,Dry,9,2023,0.386,0.93,1.0,wssv,simulated,,,,
31.82,5.71,7.91,2.65,1.009,57.44,80.31,1615.55,10.96,0,1,1,100,Vietnam,Wet,5,2020,0.425,1.0,1.0,wssv,simulated,,,,
34.89,25.08,7.89,6.32,3.753,310.22,112.8,4592.0,24.14,0,1,0,98,China,Wet,4,2023,0.521,0.72,1.0,wssv,simulated,,,,
21.37,2.39,7.82,3.21,2.596,186.93,151.65,4771.54,15.66,1,0,0,45,China,Dry,12,2019,0.568,1.0,1.0,wssv,simulated,,,,
28.54,19.47,6.05,3.9,3.544,312.41,142.44,2911.75,13.5,0,0,1,72,Indonesia,Wet,8,2022,0.778,1.0,1.0,wssv,simulated,,,,
31.85,1.22,6.94,4.71,4.323,282.62,139.29,3962.86,21.85,0,1,1,64,Thailand,Dry,10,2018,0.603,0.83,1.0,wssv,simulated,,,,
30.44,11.95,6.99,7.94,2.617,231.59,177.91,4874.18,3.24,1,0,0,62,Malaysia,Dry,6,2023,0.444,1.0,1.0,wssv,simulated,,,,
31.32,30.19,7.35,3.49,4.734,4.87,166.64,4166.03,26.77,1,0,0,30,Malaysia,Wet,12,2020,0.575,1.0,1.0,wssv,simulated,,,,
26.34,32.77,8.73,7.56,0.977,333.24,120.99,3952.73,9.35,1,0,0,128,Vietnam,Wet,5,2021,0.395,1.0,1.0,wssv,simulated,,,,
24.32,13.51,7.37,2.91,0.125,461.51,77.96,4051.65,9.29,1,1,1,87,Indonesia,Wet,7,2023,0.272,0.94,1.0,wssv,simulated,,,,
29.56,2.28,7.75,9.13,0.465,494.27,179.3,1648.83,7.18,0,1,0,64,Malaysia,Wet,6,2021,0.122,0.75,1.0,wssv,simulated,,,,
22.4,34.51,6.79,2.65,3.863,237.02,107.22,4507.53,2.11,1,0,1,154,Malaysia,Dry,8,2020,0.697,1.0,1.0,wssv,simulated,,,,
24.3,8.41,6.86,8.9,0.369,24.76,163.8,1406.34,0.64,1,0,1,80,Thailand,Wet,11,2019,0.184,1.0,1.0,wssv,simulated,,,,
32.72,4.58,7.36,5.97,3.128,105.85,132.3,4407.33,1.51,0,1,1,168,Vietnam,Wet,4,2023,0.491,0.77,0.0,wssv,simulated,,,,
33.21,2.64,6.03,8.75,1.87,323.22,165.58,1092.72,20.14,0,0,0,97,Thailand,Dry,6,2020,0.494,0.73,1.0,wssv,simulated,,,,
27.18,27.1,7.4,6.6,3.075,381.36,149.71,3045.3,19.51,0,0,1,36,Malaysia,Dry,1,2021,0.463,0.87,1.0,wssv,simulated,,,,
25.7,5.34,7.56,5.61,2.635,166.74,174.31,4997.56,4.64,1,0,1,49,China,Wet,7,2020,0.449,1.0,1.0,wssv,simulated,,,,
34.49,3.77,6.68,3.51,4.282,329.04,35.53,1903.25,5.07,1,0,1,148,Philippines,Wet,6,2023,0.686,1.0,1.0,wssv,simulated,,,,
30.08,30.86,8.04,4.98,1.005,244.25,89.62,2624.86,18.59,0,1,1,42,Vietnam,Dry,8,2023,0.369,0.83,1.0,wssv,simulated,,,,
29.37,2.02,6.55,7.47,4.568,50.3,141.54,3072.63,28.3,1,1,0,135,Thailand,Dry,2,2019,0.576,1.0,1.0,wssv,simulated,,,,
21.78,32.64,6.81,4.59,2.681,37.73,49.41,2263.83,2.48,0,0,0,41,Vietnam,Wet,11,2018,0.593,0.48,1.0,wssv,simulated,,,,
24.06,23.18,7.08,7.46,1.494,272.55,67.09,1386.15,18.57,1,1,0,67,Thailand,Wet,11,2021,0.321,0.92,1.0,wssv,simulated,,,,
24.32,15.19,6.78,2.99,1.529,417.66,198.57,3029.47,20.0,0,1,0,169,Philippines,Dry,5,2023,0.524,0.77,1.0,wssv,simulated,,,,
33.82,1.83,7.62,4.27,3.907,318.7,168.17,1285.58,7.57,0,1,0,122,Malaysia,Wet,1,2018,0.544,0.72,1.0,wssv,simulated,,,,
26.39,18.44,8.88,7.12,1.006,304.57,38.31,366.49,12.05,0,0,0,77,Indonesia,Dry,7,2020,0.438,0.83,0.0,wssv,simulated,,,,
27.52,32.28,6.98,3.85,1.986,221.18,21.57,1055.66,22.04,0,0,0,144,Philippines,Dry,1,2020,0.512,0.72,1.0,wssv,simulated,,,,
25.96,3.69,7.04,6.73,2.005,232.07,49.11,4607.38,21.66,0,1,0,120,Philippines,Wet,2,2019,0.408,0.62,1.0,wssv,simulated,,,,
31.32,16.3,6.95,3.93,1.138,313.32,132.1,1977.05,20.89,1,1,1,161,Vietnam,Dry,4,2023,0.42,1.0,1.0,wssv,simulated,,,,
29.81,22.48,7.13,7.88,4.067,488.97,88.75,4763.11,29.73,1,0,0,33,China,Dry,3,2023,0.466,1.0,1.0,wssv,simulated,,,,
32.4,26.4,6.65,8.0,0.55,181.88,150.83,269.18,7.4,1,0,0,40,Malaysia,Wet,8,2018,0.269,1.0,1.0,wssv,simulated,,,,
28.59,33.74,7.43,4.1,4.056,89.7,160.99,586.68,10.76,0,1,1,74,Malaysia,Wet,7,2022,0.542,0.92,1.0,wssv,simulated,,,,
21.29,25.3,6.1,3.34,4.662,390.44,91.86,2703.48,24.63,0,0,0,131,India,Dry,7,2019,0.789,0.67,0.0,wssv,simulated,,,,
29.75,29.6,6.22,8.22,4.367,471.36,86.71,381.69,1.44,1,1,1,60,Philippines,Wet,7,2023,0.606,1.0,1.0,wssv,simulated,,,,
23.04,6.38,6.57,8.28,4.004,124.83,197.99,1958.29,18.37,1,1,1,160,Malaysia,Dry,3,2022,0.546,0.93,1.0,wssv,simulated,,,,
22.98,10.56,7.07,9.0,3.186,126.52,165.88,3220.82,9.89,0,1,0,51,China,Wet,12,2021,0.438,0.77,1.0,wssv,simulated,,,,
27.71,31.45,6.93,2.6,1.081,188.15,53.73,4693.09,16.36,1,1,1,52,Vietnam,Dry,6,2021,0.462,1.0,1.0,wssv,simulated,,,,
33.47,18.91,8.2,2.71,2.969,246.9,194.11,1816.45,10.19,1,1,1,133,Malaysia,Wet,5,2021,0.69,1.0,1.0,wssv,simulated,,,,
28.52,18.68,9.0,3.52,3.426,315.22,164.02,2827.75,10.18,0,1,0,64,Vietnam,Dry,11,2019,0.799,1.0,1.0,wssv,simulated,,,,
20.62,33.67,8.9,4.77,3.395,300.41,21.79,2807.19,7.01,1,0,0,61,India,Dry,9,2022,0.741,0.73,0.0,wssv,simulated,,,,
21.2,28.36,6.47,4.67,3.593,228.03,198.83,2626.96,18.54,1,0,0,140,India,Dry,10,2020,0.683,0.98,1.0,wssv,simulated,,,,
26.79,22.42,7.12,5.98,2.648,172.85,199.67,2127.21,4.28,1,1,0,167,Philippines,Wet,4,2018,0.492,1.0,1.0,wssv,simulated,,,,
31.74,15.79,8.75,5.04,0.508,40.77,117.67,4718.66,22.85,1,0,0,142,Philippines,Dry,2,2022,0.43,1.0,1.0,wssv,simulated,,,,
22.05,14.88,7.51,5.26,0.336,311.98,51.65,2068.94,17.7,0,1,0,49,Malaysia,Dry,4,2018,0.197,0.25,1.0,wssv,simulated,,,,
21.03,33.55,8.74,7.92,2.773,420.15,180.95,4551.64,8.31,1,0,1,98,Malaysia,Dry,10,2020,0.584,1.0,1.0,wssv,simulated,,,,
31.03,4.92,7.55,2.1,4.827,176.83,81.93,1505.06,25.4,1,0,1,135,China,Dry,7,2018,0.605,1.0,1.0,wssv,simulated,,,,
24.73,7.49,8.53,4.42,2.81,4.43,144.56,3808.14,6.77,1,0,0,145,Philippines,Dry,7,2019,0.67,0.98,1.0,wssv,simulated,,,,
28.87,23.14,8.41,7.26,3.137,432.66,139.28,1845.56,25.84,1,1,0,178,Thailand,Dry,10,2021,0.576,1.0,1.0,wssv,simulated,,,,
33.47,3.47,7.14,9.19,0.394,431.99,149.69,3913.55,23.94,0,1,0,66,Vietnam,Wet,4,2023,0.131,0.6,1.0,wssv,simulated,,,,
